# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = cmb_model
# start_datetime = 2023-07-27 20:32:47 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Modelo1/Data/cmb.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpkd37ey9d/ghaz6qxv.json
# random
#   seed = 15198
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output1/cmb/cmb-20230727213247.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,H0,Omb,Om,zeta,h,Omega_b,Omega_c,wr,Omega_r,Omega_L,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,g1,g2,zstar,z0,v0.1,sol_v.1.1,v,g,la,R,wb,x.1,x.2,x.3
# Adaptation terminated
# Step size = 4.36599e-05
# Diagonal elements of inverse mass matrix:
# 2.43903e-05, 2.43903e-05, 2.43904e-05, 2.46095e-05
-679150,0.95833,4.36599e-05,4,24,1,679151,119.05,0.0732594,0.525737,2.59552e-06,1.1905,0.0732594,0.452477,4.15e-05,2.92813e-05,0.474234,1.1905,0.0732594,0.452477,2.92813e-05,0.474234,2.59552e-06,119.05,0.525737,0.0167477,0.414875,1070.55,0,0,2.53997,2.53997,0.0370003,215.662,1.84168,0.10383,-85.908,0.100976,0.0815496
-679150,0.937496,4.36599e-05,4,16,1,679152,119.05,0.0732592,0.525735,4.62694e-07,1.1905,0.0732592,0.452476,4.15e-05,2.92813e-05,0.474236,1.1905,0.0732592,0.452476,2.92813e-05,0.474236,4.62694e-07,119.05,0.525735,0.0167477,0.414876,1070.55,0,0,2.53998,2.53998,0.0370004,215.662,1.84168,0.103829,-85.9081,0.100976,0.0815492
-679150,0.888889,4.36599e-05,3,9,1,679151,119.05,0.0732592,0.525735,5.26745e-07,1.1905,0.0732592,0.452475,4.15e-05,2.92813e-05,0.474236,1.1905,0.0732592,0.452475,2.92813e-05,0.474236,5.26745e-07,119.05,0.525735,0.0167477,0.414876,1070.55,0,0,2.53998,2.53998,0.0370004,215.662,1.84168,0.103829,-85.9082,0.100976,0.0815491
-679150,0.96875,4.36599e-05,5,32,1,679152,119.049,0.0732589,0.525734,1.71796e-06,1.19049,0.0732589,0.452475,4.15e-05,2.92817e-05,0.474236,1.19049,0.0732589,0.452475,2.92817e-05,0.474236,1.71796e-06,119.049,0.525734,0.016748,0.414879,1070.55,0,0,2.53998,2.53998,0.0370005,215.661,1.84168,0.103827,-85.9088,0.100976,0.0815474
-679150,0.888888,4.36599e-05,3,9,1,679151,119.049,0.0732589,0.525734,3.80224e-07,1.19049,0.0732589,0.452475,4.15e-05,2.92818e-05,0.474237,1.19049,0.0732589,0.452475,2.92818e-05,0.474237,3.80224e-07,119.049,0.525734,0.016748,0.41488,1070.55,0,0,2.53998,2.53998,0.0370005,215.661,1.84168,0.103827,-85.9088,0.100976,0.0815472
-679150,0.833333,4.36599e-05,2,6,1,679150,119.049,0.0732589,0.525734,5.53224e-07,1.19049,0.0732589,0.452475,4.15e-05,2.92818e-05,0.474237,1.19049,0.0732589,0.452475,2.92818e-05,0.474237,5.53224e-07,119.049,0.525734,0.016748,0.41488,1070.55,0,0,2.53998,2.53998,0.0370005,215.661,1.84168,0.103827,-85.9089,0.100976,0.0815472
-679150,0.857143,4.36599e-05,2,7,1,679151,119.049,0.0732589,0.525734,9.16742e-07,1.19049,0.0732589,0.452475,4.15e-05,2.92818e-05,0.474237,1.19049,0.0732589,0.452475,2.92818e-05,0.474237,9.16742e-07,119.049,0.525734,0.016748,0.41488,1070.55,0,0,2.53998,2.53998,0.0370006,215.661,1.84168,0.103827,-85.9089,0.100976,0.0815472
-679150,0.95238,4.36599e-05,4,21,1,679151,119.049,0.073259,0.525733,8.79544e-07,1.19049,0.073259,0.452474,4.15e-05,2.92819e-05,0.474237,1.19049,0.073259,0.452474,2.92819e-05,0.474237,8.79544e-07,119.049,0.525733,0.016748,0.41488,1070.55,0,0,2.53998,2.53998,0.0370006,215.661,1.84168,0.103827,-85.9089,0.100975,0.0815471
-679150,0.749999,4.36599e-05,2,4,1,679154,119.049,0.073259,0.525733,5.51418e-08,1.19049,0.073259,0.452474,4.15e-05,2.92818e-05,0.474238,1.19049,0.073259,0.452474,2.92818e-05,0.474238,5.51418e-08,119.049,0.525733,0.016748,0.41488,1070.55,0,0,2.53998,2.53998,0.0370006,215.661,1.84168,0.103827,-85.9089,0.100976,0.0815471
-679150,0,4.36599e-05,0,1,1,679152,119.049,0.073259,0.525733,5.51418e-08,1.19049,0.073259,0.452474,4.15e-05,2.92818e-05,0.474238,1.19049,0.073259,0.452474,2.92818e-05,0.474238,5.51418e-08,119.049,0.525733,0.016748,0.41488,1070.55,0,0,2.53998,2.53998,0.0370006,215.661,1.84168,0.103827,-85.9089,0.100976,0.0815471
-679150,0.666667,4.36599e-05,1,3,1,679152,119.049,0.073259,0.525733,6.33008e-08,1.19049,0.073259,0.452474,4.15e-05,2.92819e-05,0.474238,1.19049,0.073259,0.452474,2.92819e-05,0.474238,6.33008e-08,119.049,0.525733,0.016748,0.41488,1070.55,0,0,2.53998,2.53998,0.0370006,215.661,1.84168,0.103827,-85.909,0.100976,0.081547
-679150,0.75,4.36599e-05,2,4,1,679154,119.049,0.073259,0.525733,6.82823e-07,1.19049,0.073259,0.452474,4.15e-05,2.9282e-05,0.474237,1.19049,0.073259,0.452474,2.9282e-05,0.474237,6.82823e-07,119.049,0.525733,0.0167481,0.414881,1070.55,0,0,2.53998,2.53998,0.0370006,215.661,1.84168,0.103827,-85.9091,0.100975,0.0815466
-679150,0.666667,4.36599e-05,1,3,1,679151,119.049,0.073259,0.525733,4.61593e-07,1.19049,0.073259,0.452475,4.15e-05,2.92819e-05,0.474237,1.19049,0.073259,0.452475,2.92819e-05,0.474237,4.61593e-07,119.049,0.525733,0.0167481,0.414881,1070.55,0,0,2.53998,2.53998,0.0370006,215.661,1.84168,0.103827,-85.909,0.100976,0.0815467
-679150,0.888889,4.36599e-05,3,9,1,679152,119.048,0.0732591,0.525734,2.50771e-06,1.19048,0.0732591,0.452475,4.15e-05,2.9282e-05,0.474237,1.19048,0.0732591,0.452475,2.9282e-05,0.474237,2.50771e-06,119.048,0.525734,0.0167481,0.414881,1070.55,0,0,2.53998,2.53998,0.0370006,215.661,1.84168,0.103827,-85.9091,0.100975,0.0815467
-679151,0.956521,4.36599e-05,4,23,1,679152,119.048,0.0732593,0.525733,2.95478e-06,1.19048,0.0732593,0.452473,4.15e-05,2.92821e-05,0.474238,1.19048,0.0732593,0.452473,2.92821e-05,0.474238,2.95478e-06,119.048,0.525733,0.0167481,0.414881,1070.55,0,0,2.53998,2.53998,0.0370006,215.661,1.84167,0.103827,-85.9091,0.100975,0.0815468
-679151,0.941176,4.36599e-05,4,17,1,679153,119.048,0.0732593,0.525733,2.6869e-06,1.19048,0.0732593,0.452473,4.15e-05,2.92821e-05,0.474238,1.19048,0.0732593,0.452473,2.92821e-05,0.474238,2.6869e-06,119.048,0.525733,0.0167481,0.414881,1070.55,0,0,2.53998,2.53998,0.0370006,215.661,1.84167,0.103827,-85.9091,0.100975,0.0815467
-679152,0.972971,4.36599e-05,5,37,1,679153,119.048,0.0732594,0.525731,4.33321e-06,1.19048,0.0732594,0.452471,4.15e-05,2.92823e-05,0.47424,1.19048,0.0732594,0.452471,2.92823e-05,0.47424,4.33321e-06,119.048,0.525731,0.0167482,0.414882,1070.55,0,0,2.53998,2.53998,0.0370007,215.661,1.84167,0.103826,-85.9095,0.100974,0.081546
-679152,0.961538,4.36599e-05,4,26,1,679153,119.048,0.0732595,0.52573,4.94746e-06,1.19048,0.0732595,0.452471,4.15e-05,2.92824e-05,0.47424,1.19048,0.0732595,0.452471,2.92824e-05,0.47424,4.94746e-06,119.048,0.52573,0.0167482,0.414882,1070.55,0,0,2.53998,2.53998,0.0370007,215.66,1.84167,0.103826,-85.9096,0.100973,0.0815459
-679152,0.941172,4.36599e-05,4,17,1,679155,119.048,0.0732596,0.525729,1.87948e-06,1.19048,0.0732596,0.452469,4.15e-05,2.92822e-05,0.474242,1.19048,0.0732596,0.452469,2.92822e-05,0.474242,1.87948e-06,119.048,0.525729,0.0167481,0.41488,1070.55,0,0,2.53999,2.53999,0.0370008,215.661,1.84167,0.103827,-85.9092,0.100974,0.0815469
-679152,0.941176,4.36599e-05,4,17,1,679152,119.048,0.0732596,0.525729,1.14057e-06,1.19048,0.0732596,0.452469,4.15e-05,2.92822e-05,0.474242,1.19048,0.0732596,0.452469,2.92822e-05,0.474242,1.14057e-06,119.048,0.525729,0.0167481,0.414881,1070.55,0,0,2.53999,2.53999,0.0370007,215.661,1.84167,0.103827,-85.9092,0.100974,0.0815468
-679152,0.95,4.36599e-05,4,20,1,679154,119.048,0.0732596,0.525729,2.72259e-06,1.19048,0.0732596,0.452469,4.15e-05,2.92824e-05,0.474242,1.19048,0.0732596,0.452469,2.92824e-05,0.474242,2.72259e-06,119.048,0.525729,0.0167482,0.414882,1070.55,0,0,2.53999,2.53999,0.0370008,215.66,1.84167,0.103826,-85.9096,0.100974,0.0815458
