# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = cmb_model
# start_datetime = 2023-07-27 21:22:50 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Modelo1/Data/cmb.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpwbqecknw/m1gsq8qu.json
# random
#   seed = 53331
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output1/cmb/cmb-20230727222250.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,H0,Omb,Om,zeta,h,Omega_b,Omega_c,wr,Omega_r,Omega_L,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,g1,g2,zstar,z0,v0.1,sol_v.1.1,v,g,la,R,wb,x.1,x.2,x.3
# Adaptation terminated
# Step size = 5.0045e-05
# Diagonal elements of inverse mass matrix:
# 2.43903e-05, 2.43912e-05, 2.43915e-05, 0.000116271
-589121,0.899997,5.0045e-05,3,10,1,589124,70.7293,0.201611,0.876864,5.07819e-06,0.707293,0.201611,0.675253,4.15e-05,8.29562e-05,0.123053,0.707293,0.201611,0.675253,8.29562e-05,0.123053,5.07819e-06,70.7293,0.876864,0.0171934,0.420453,1067.89,0,0,2.05019,2.05019,0.0287872,223.741,1.91982,0.100859,-77.8293,0.179121,0.0785789
-589120,0.95238,5.0045e-05,4,21,1,589123,70.7293,0.201611,0.876869,4.30996e-06,0.707293,0.201611,0.675258,4.15e-05,8.29562e-05,0.123048,0.707293,0.201611,0.675258,8.29562e-05,0.123048,4.30996e-06,70.7293,0.876869,0.0171935,0.420453,1067.89,0,0,2.05019,2.05019,0.0287871,223.741,1.91982,0.100859,-77.8293,0.179122,0.0785786
-589120,0.923076,5.0045e-05,3,13,1,589122,70.7293,0.20161,0.876868,4.18296e-06,0.707293,0.20161,0.675258,4.15e-05,8.29562e-05,0.123049,0.707293,0.20161,0.675258,8.29562e-05,0.123049,4.18296e-06,70.7293,0.876868,0.0171935,0.420454,1067.89,0,0,2.05019,2.05019,0.0287872,223.741,1.91982,0.100858,-77.8294,0.179122,0.0785782
-589119,0.874999,5.0045e-05,3,8,1,589124,70.7293,0.201614,0.876871,8.75693e-07,0.707293,0.201614,0.675257,4.15e-05,8.29562e-05,0.123046,0.707293,0.201614,0.675257,8.29562e-05,0.123046,8.75693e-07,70.7293,0.876871,0.0171932,0.42045,1067.89,0,0,2.05019,2.05019,0.028787,223.741,1.91982,0.10086,-77.8286,0.179123,0.07858
-589119,0.75,5.0045e-05,2,4,1,589120,70.7293,0.201613,0.876872,1.29448e-08,0.707293,0.201613,0.675258,4.15e-05,8.29562e-05,0.123046,0.707293,0.201613,0.675258,8.29562e-05,0.123046,1.29448e-08,70.7293,0.876872,0.0171932,0.420451,1067.89,0,0,2.05019,2.05019,0.028787,223.741,1.91982,0.10086,-77.8286,0.179124,0.0785799
-589120,0.875,5.0045e-05,3,8,1,589120,70.7293,0.201613,0.87687,2.68266e-06,0.707293,0.201613,0.675257,4.15e-05,8.29562e-05,0.123047,0.707293,0.201613,0.675257,8.29562e-05,0.123047,2.68266e-06,70.7293,0.87687,0.0171933,0.420451,1067.89,0,0,2.05019,2.05019,0.0287871,223.741,1.91982,0.10086,-77.8288,0.179123,0.0785797
-589120,0.888888,5.0045e-05,3,9,1,589121,70.7293,0.201614,0.876871,3.47287e-06,0.707293,0.201614,0.675257,4.15e-05,8.29562e-05,0.123046,0.707293,0.201614,0.675257,8.29562e-05,0.123046,3.47287e-06,70.7293,0.876871,0.0171932,0.42045,1067.89,0,0,2.05019,2.05019,0.028787,223.741,1.91982,0.10086,-77.8286,0.179123,0.0785801
-589120,0.857142,5.0045e-05,2,7,1,589122,70.7293,0.201614,0.876872,4.74455e-06,0.707293,0.201614,0.675257,4.15e-05,8.29562e-05,0.123045,0.707293,0.201614,0.675257,8.29562e-05,0.123045,4.74455e-06,70.7293,0.876872,0.0171932,0.42045,1067.89,0,0,2.05018,2.05018,0.028787,223.741,1.91982,0.10086,-77.8286,0.179122,0.0785803
-589120,0.833332,5.0045e-05,2,6,1,589124,70.7293,0.201614,0.876871,3.83682e-06,0.707293,0.201614,0.675257,4.15e-05,8.29562e-05,0.123046,0.707293,0.201614,0.675257,8.29562e-05,0.123046,3.83682e-06,70.7293,0.876871,0.0171932,0.42045,1067.89,0,0,2.05019,2.05019,0.028787,223.741,1.91982,0.10086,-77.8286,0.179122,0.0785803
-589120,0.899999,5.0045e-05,3,10,1,589120,70.7293,0.201614,0.876871,2.79752e-06,0.707293,0.201614,0.675257,4.15e-05,8.29562e-05,0.123046,0.707293,0.201614,0.675257,8.29562e-05,0.123046,2.79752e-06,70.7293,0.876871,0.0171932,0.42045,1067.89,0,0,2.05019,2.05019,0.028787,223.741,1.91982,0.10086,-77.8286,0.179123,0.0785802
-589119,0.90909,5.0045e-05,3,11,1,589123,70.7293,0.201612,0.87687,2.92213e-06,0.707293,0.201612,0.675258,4.15e-05,8.29562e-05,0.123047,0.707293,0.201612,0.675258,8.29562e-05,0.123047,2.92213e-06,70.7293,0.87687,0.0171934,0.420452,1067.89,0,0,2.05019,2.05019,0.0287871,223.741,1.91982,0.100859,-77.829,0.179123,0.078579
-589119,0.874999,5.0045e-05,3,8,1,589122,70.7293,0.20161,0.876869,9.44382e-07,0.707293,0.20161,0.675259,4.15e-05,8.29562e-05,0.123048,0.707293,0.20161,0.675259,8.29562e-05,0.123048,9.44382e-07,70.7293,0.876869,0.0171935,0.420454,1067.89,0,0,2.05019,2.05019,0.0287871,223.741,1.91982,0.100858,-77.8292,0.179123,0.0785783
