lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,H0,zeta,theta.1,theta.2,theta.3,A,B,C,Delta.1,Delta.2,Delta.3,Delta.4,Delta.5,Delta.6,Delta.7,Delta.8,Delta.9,Delta.10,Delta.11,Delta.12,Delta.13,Delta.14,Delta.15,Delta.16,Delta.17,Delta.18,Delta.19,Delta.20,Delta.21,Delta.22,Delta.23,Delta.24,Delta.25,Delta.26,Delta.27,Delta.28,Delta.29,Delta.30,Delta.31,Delta.32,Delta.33,Delta.34,Delta.35,Delta.36,Delta.37,Delta.38,Delta.39,Delta.40
# Adaptation terminated
# Step size = 0.170091
# Diagonal elements of inverse mass matrix:
# 0.000689728, 106.591, 5.11679e-05
-48.7191,0.921999,0.170091,2,3,0,48.8662,0.270885,72.9522,0.00558876,0.270885,72.9522,0.00558876,3.2625e+07,1.3705e+06,57571.6,23.8157,23.7562,23.7818,23.7808,23.7821,23.7726,23.7429,23.775,23.7712,23.8783,23.8134,23.8772,23.8533,23.7965,23.8232,23.8778,23.8033,23.7474,23.8208,23.8188,23.8026,23.8083,23.7981,23.7977,23.7669,23.7991,23.8357,23.8084,23.8034,23.8153,23.8057,23.827,23.8016,23.8283,23.7879,23.7831,23.8277,23.8341,23.81,23.7354
-49.4714,0.988816,0.170091,2,7,0,51.1243,0.278917,73.1967,0.000624297,0.278917,73.1967,0.000624297,3.26149e+07,1.37029e+06,57571.6,23.8156,23.7561,23.7817,23.7807,23.7819,23.7724,23.7426,23.7747,23.7709,23.878,23.813,23.8767,23.8528,23.7959,23.8225,23.877,23.8024,23.7464,23.8197,23.8176,23.8012,23.8067,23.7963,23.7956,23.7646,23.7965,23.8327,23.805,23.7996,23.8108,23.8006,23.821,23.7945,23.8196,23.7776,23.7697,23.8107,23.8115,23.7732,23.6756
-50.3805,0.965553,0.170091,2,7,0,51.0334,0.292967,75.2833,0.000398148,0.292967,75.2833,0.000398148,3.26303e+07,1.37061e+06,57571.6,23.8159,23.7566,23.7822,23.7814,23.7828,23.7735,23.7439,23.7761,23.7725,23.8798,23.815,23.8789,23.8551,23.7985,23.8253,23.8801,23.8057,23.75,23.8236,23.8218,23.8057,23.8115,23.8015,23.8012,23.7705,23.8028,23.8396,23.8123,23.8074,23.8192,23.8096,23.8306,23.805,23.831,23.7899,23.7833,23.8255,23.8279,23.7919,23.6963
-51.0064,0.8094,0.170091,3,7,0,54.3316,0.282071,77.2162,0.00502298,0.282071,77.2162,0.00502298,3.26357e+07,1.37072e+06,57571.6,23.8159,23.7565,23.7822,23.7814,23.7827,23.7734,23.7438,23.776,23.7723,23.8797,23.8148,23.8788,23.855,23.7984,23.8252,23.8801,23.8057,23.75,23.8236,23.8219,23.8059,23.8118,23.8018,23.8016,23.7711,23.8036,23.8406,23.8136,23.8089,23.8212,23.812,23.8337,23.8088,23.836,23.7962,23.792,23.8373,23.8443,23.8206,23.7453
-48.1918,0.998727,0.170091,4,31,0,52.9865,0.203536,54.1687,0.0170265,0.203536,54.1687,0.0170265,3.25911e+07,1.36979e+06,57571.6,23.8146,23.7548,23.7799,23.7785,23.7793,23.7693,23.7389,23.7705,23.7661,23.8727,23.8073,23.8703,23.846,23.7884,23.8145,23.8685,23.7932,23.7367,23.8092,23.8066,23.7895,23.7944,23.7833,23.7821,23.7504,23.7818,23.8175,23.7893,23.7836,23.7946,23.7844,23.8051,23.7794,23.806,23.7661,23.7632,23.8112,23.824,23.8195,23.7778
-49.1963,0.946872,0.170091,4,19,0,49.7465,0.259697,86.9784,0.00718898,0.259697,86.9784,0.00718898,3.26183e+07,1.37036e+06,57571.6,23.8155,23.756,23.7814,23.7804,23.7816,23.772,23.7421,23.7741,23.7703,23.8773,23.8123,23.8759,23.852,23.795,23.8216,23.8761,23.8015,23.7454,23.8187,23.8166,23.8002,23.8058,23.7953,23.7948,23.7638,23.7959,23.8323,23.8048,23.7997,23.8113,23.8016,23.8227,23.7972,23.8237,23.7833,23.7785,23.8235,23.8306,23.809,23.7394
-47.5026,0.993646,0.170091,2,7,0,49.8789,0.243993,80.4166,0.00737756,0.243993,80.4166,0.00737756,3.26006e+07,1.36999e+06,57571.6,23.8151,23.7555,23.7808,23.7796,23.7806,23.7708,23.7407,23.7725,23.7685,23.8753,23.8101,23.8735,23.8493,23.792,23.8184,23.8726,23.7977,23.7414,23.8143,23.8119,23.7951,23.8003,23.7894,23.7885,23.757,23.7886,23.8245,23.7964,23.7907,23.8017,23.7913,23.8116,23.7852,23.8106,23.7693,23.763,23.8066,23.8121,23.7881,23.7169
-48.9005,0.828916,0.170091,5,31,0,50.1952,0.233704,55.2677,0.0132579,0.233704,55.2677,0.0132579,3.26116e+07,1.37022e+06,57571.6,23.8152,23.7555,23.7808,23.7797,23.7807,23.771,23.7409,23.7728,23.7687,23.8756,23.8105,23.8739,23.8498,23.7926,23.8191,23.8734,23.7985,23.7423,23.8154,23.8131,23.7966,23.8019,23.7913,23.7906,23.7594,23.7914,23.8277,23.8001,23.7949,23.8066,23.7969,23.8182,23.7931,23.8203,23.7808,23.7781,23.8257,23.8372,23.8278,23.7772
-50.3201,0.959218,0.170091,3,7,0,50.447,0.227416,51.3501,0.00797443,0.227416,51.3501,0.00797443,3.25834e+07,1.36963e+06,57571.6,23.8148,23.755,23.7801,23.7787,23.7796,23.7696,23.7393,23.7709,23.7667,23.8733,23.8079,23.8709,23.8466,23.7891,23.8152,23.8692,23.7939,23.7373,23.8099,23.8072,23.79,23.7948,23.7835,23.7822,23.7503,23.7814,23.8167,23.7881,23.7819,23.7921,23.7811,23.8007,23.7735,23.7979,23.7557,23.7481,23.7905,23.7948,23.7694,23.6981
-48.9395,1,0.170091,2,3,0,50.1419,0.230006,52.199,0.00873965,0.230006,52.199,0.00873965,3.25895e+07,1.36975e+06,57571.6,23.8149,23.7551,23.7803,23.779,23.7799,23.77,23.7397,23.7714,23.7672,23.8738,23.8085,23.8717,23.8474,23.7899,23.8161,23.8702,23.795,23.7385,23.8112,23.8085,23.7915,23.7965,23.7853,23.7842,23.7524,23.7837,23.8192,23.7908,23.7848,23.7953,23.7846,23.8045,23.7777,23.8027,23.761,23.7543,23.7977,23.8033,23.7807,23.713
-47.1586,0.99882,0.170091,4,31,0,51.0374,0.208425,61.955,0.0161834,0.208425,61.955,0.0161834,3.25935e+07,1.36984e+06,57571.6,23.8147,23.7549,23.78,23.7786,23.7795,23.7695,23.7392,23.7708,23.7665,23.8731,23.8077,23.8708,23.8465,23.789,23.8152,23.8692,23.7939,23.7374,23.8101,23.8075,23.7905,23.7954,23.7843,23.7833,23.7516,23.783,23.8188,23.7907,23.785,23.7961,23.7859,23.8067,23.781,23.8076,23.7677,23.7646,23.8124,23.8247,23.8188,23.775
-47.6154,0.93487,0.170091,2,3,0,47.9358,0.210473,63.1765,0.0169216,0.210473,63.1765,0.0169216,3.25988e+07,1.36995e+06,57571.6,23.8148,23.755,23.7802,23.7788,23.7797,23.7698,23.7395,23.7712,23.7669,23.8736,23.8082,23.8714,23.8472,23.7897,23.816,23.87,23.7949,23.7384,23.8112,23.8087,23.7918,23.7969,23.7859,23.7849,23.7534,23.785,23.821,23.793,23.7876,23.7989,23.789,23.81,23.7846,23.8117,23.7723,23.77,23.8185,23.8319,23.8281,23.7867
-47.641,0.970369,0.170091,2,3,0,48.1271,0.201449,63.6567,0.0143184,0.201449,63.6567,0.0143184,3.25779e+07,1.36951e+06,57571.6,23.8145,23.7546,23.7795,23.7781,23.7788,23.7687,23.7382,23.7696,23.7652,23.8716,23.8061,23.869,23.8445,23.7868,23.8128,23.8666,23.7911,23.7344,23.8067,23.8039,23.7865,23.7912,23.7797,23.7783,23.7462,23.7772,23.8124,23.7838,23.7776,23.7878,23.777,23.7968,23.7701,23.7954,23.7542,23.749,23.7945,23.8038,23.792,23.7415
-47.2662,0.989761,0.170091,4,31,0,48.6184,0.248362,67.726,0.0063112,0.248362,67.726,0.0063112,3.26016e+07,1.37001e+06,57571.6,23.8152,23.7555,23.7808,23.7797,23.7807,23.771,23.7409,23.7728,23.7687,23.8756,23.8104,23.8738,23.8496,23.7924,23.8188,23.8731,23.7981,23.7419,23.8148,23.8124,23.7957,23.8009,23.7901,23.7892,23.7577,23.7893,23.8252,23.7971,23.7915,23.8024,23.792,23.8122,23.7858,23.8111,23.7695,23.7629,23.8059,23.8106,23.7842,23.709
-46.6223,0.999279,0.170091,4,23,0,47.9445,0.226192,66.4715,0.0125987,0.226192,66.4715,0.0125987,3.26003e+07,1.36998e+06,57571.6,23.815,23.7552,23.7804,23.7792,23.7801,23.7703,23.7401,23.7719,23.7677,23.8744,23.8091,23.8724,23.8482,23.7909,23.8172,23.8713,23.7963,23.7399,23.8127,23.8103,23.7935,23.7986,23.7877,23.7868,23.7553,23.7869,23.8228,23.7949,23.7893,23.8005,23.7904,23.8111,23.7853,23.8117,23.7714,23.7674,23.8138,23.8238,23.8115,23.7578
-48.1526,0.989141,0.170091,4,15,0,48.5015,0.183351,59.9537,0.0193661,0.183351,59.9537,0.0193661,3.25764e+07,1.36948e+06,57571.6,23.8143,23.7543,23.7792,23.7776,23.7783,23.7681,23.7375,23.7689,23.7643,23.8707,23.8051,23.8678,23.8433,23.7855,23.8114,23.8651,23.7895,23.7327,23.805,23.802,23.7846,23.7892,23.7777,23.7762,23.7441,23.7751,23.8104,23.7818,23.7756,23.7861,23.7755,23.7957,23.7695,23.7957,23.7555,23.7524,23.8005,23.8139,23.8121,23.7755
