lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,H0,zeta,theta.1,theta.2,theta.3,H_theo.1,H_theo.2,H_theo.3,H_theo.4,H_theo.5,H_theo.6,H_theo.7,H_theo.8,H_theo.9,H_theo.10,H_theo.11,H_theo.12,H_theo.13,H_theo.14,H_theo.15,H_theo.16,H_theo.17,H_theo.18,H_theo.19,H_theo.20,H_theo.21,H_theo.22,H_theo.23,H_theo.24,H_theo.25,H_theo.26,H_theo.27,H_theo.28,H_theo.29,H_theo.30,H_theo.31,H_theo.32,chi
# Adaptation terminated
# Step size = 0.050426
# Diagonal elements of inverse mass matrix:
# 0.00807833, 84.0001, 2.41231
-7.7387,0.904601,0.050426,4,23,0,8.61057,0.310569,72.3018,-0.131157,0.310569,72.3018,-0.131157,73.4226,73.9947,74.9264,76.6417,76.9698,77.7186,77.7567,80.5827,81.0106,84.2597,85.6,86.5826,86.6025,87.84,88.8687,90.1825,90.6254,90.7166,97.0784,102.364,106.845,108.892,115.321,115.672,117.085,127.137,148.102,153.422,159.197,168.035,188.343,209.262,15.4238
-9.96406,0.819284,0.050426,5,39,0,10.9321,0.312717,55.5493,1.26766,0.312717,55.5493,1.26766,66.8091,68.5511,70.9454,74.5911,75.2172,76.5849,76.6525,81.2547,81.8962,86.4466,88.1949,89.4395,89.4644,90.9922,92.2329,93.7831,94.2978,94.4032,101.434,106.904,111.357,113.345,119.443,119.771,121.083,130.213,148.448,152.958,157.814,165.178,181.863,198.801,17.8232
-10.527,0.990891,0.050426,5,47,0,13.6163,0.423083,57.7775,0.244782,0.423083,57.7775,0.244782,63.1196,64.2688,65.9555,68.733,69.2328,70.3458,70.4016,74.343,74.9136,79.0883,80.7458,81.942,81.966,83.4518,84.6715,86.211,86.7257,86.8314,94.0283,99.8008,104.589,106.75,113.45,113.812,115.269,125.503,146.358,151.577,157.219,165.81,185.404,205.431,19.499
-10.8315,0.977456,0.050426,5,63,0,11.9068,0.440555,60.3109,0.328344,0.440555,60.3109,0.328344,67.0614,68.4234,70.3983,73.605,74.1773,75.4473,75.5108,79.9681,80.6091,85.2738,87.1153,88.4411,88.4677,90.1111,91.4577,93.1543,93.721,93.8372,101.727,108.022,113.227,115.571,122.827,123.219,124.794,135.839,158.268,163.87,169.922,179.131,200.109,221.526,20.644
-9.71019,0.816284,0.050426,2,7,0,12.3987,0.441075,59.8747,0.129933,0.441075,59.8747,0.129933,64.3099,65.3811,66.9832,69.6778,70.1684,71.2661,71.3213,75.256,75.8304,80.0621,81.7537,82.9779,83.0025,84.5266,85.7804,87.366,87.8969,88.0059,95.46,101.47,106.471,108.732,115.753,116.133,117.661,128.416,150.386,155.892,161.846,170.917,191.617,212.786,18.3154
-7.74304,0.786911,0.050426,5,47,0,12.0362,0.303391,70.0355,-0.160551,0.303391,70.0355,-0.160551,70.8039,71.3055,72.1352,73.686,73.9848,74.6687,74.7036,77.3035,77.6992,80.7148,81.9637,82.8808,82.8993,84.0559,85.0185,86.2494,86.6647,86.7501,92.7312,97.7174,101.954,103.891,109.983,110.316,111.657,121.204,141.16,146.23,151.736,160.167,179.552,199.534,15.4858
-7.34484,0.996206,0.050426,2,3,0,7.84936,0.300989,70.2661,-0.103312,0.300989,70.2661,-0.103312,71.5967,72.1732,73.1005,74.7877,75.1085,75.839,75.8762,78.6187,79.0326,82.1667,83.4564,84.4011,84.4202,85.6089,86.5963,87.8567,88.2815,88.3689,94.4621,99.5175,103.801,105.756,111.898,112.233,113.583,123.182,143.2,148.28,153.795,162.235,181.634,201.619,14.6889
-7.52388,0.99289,0.050426,5,51,0,7.66412,0.30112,66.3535,0.129665,0.30112,66.3535,0.129665,69.7441,70.5739,71.822,73.9396,74.3274,75.1977,75.2416,78.3883,78.851,82.2828,83.6655,84.6697,84.69,85.9443,86.9795,88.2926,88.7332,88.8237,95.0584,100.142,104.404,106.339,112.38,112.708,114.029,123.375,142.676,147.548,152.828,160.895,179.384,198.383,14.9146
-8.06244,0.994672,0.050426,6,63,0,8.40065,0.351697,79.0401,-0.568754,0.351697,79.0401,-0.568754,74.5397,74.418,74.4757,75.0376,75.1889,75.5729,75.5937,77.4065,77.718,80.3025,81.4585,82.3324,82.3503,83.4789,84.4379,85.6873,86.1142,86.2023,92.5891,98.1524,102.992,105.231,112.354,112.746,114.328,125.692,149.771,155.926,162.621,172.886,196.53,220.927,15.2937
-7.85741,0.912371,0.050426,5,31,0,8.92355,0.354581,74.8284,-0.349812,0.354581,74.8284,-0.349812,73.3972,73.6923,74.2922,75.6065,75.8778,76.5143,76.5473,79.1107,79.5149,82.6776,84.0197,85.0144,85.0346,86.2987,87.3579,88.7204,89.1819,89.277,96.005,101.691,106.556,108.788,115.83,116.216,117.769,128.853,152.081,157.986,164.4,174.217,196.783,220.025,15.4685
