lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,H0,zeta,theta.1,theta.2,theta.3,H_theo.1,H_theo.2,H_theo.3,H_theo.4,H_theo.5,H_theo.6,H_theo.7,H_theo.8,H_theo.9,H_theo.10,H_theo.11,H_theo.12,H_theo.13,H_theo.14,H_theo.15,H_theo.16,H_theo.17,H_theo.18,H_theo.19,H_theo.20,H_theo.21,H_theo.22,H_theo.23,H_theo.24,H_theo.25,H_theo.26,H_theo.27,H_theo.28,H_theo.29,H_theo.30,H_theo.31,H_theo.32,chi
# Adaptation terminated
# Step size = 0.0804643
# Diagonal elements of inverse mass matrix:
# 0.00472994, 61.2621, 0.94125
-9.24912,0.976602,0.0804643,4,15,0,9.70059,0.43823,70.9208,-0.371265,0.43823,70.9208,-0.371265,68.9157,69.2176,69.8628,71.3187,71.6223,72.3366,72.3737,75.2648,75.7215,79.2942,80.8084,81.9296,81.9523,83.3755,84.5665,86.0966,86.6145,86.7211,94.2398,100.554,105.931,108.391,116.124,116.547,118.247,130.338,155.482,161.843,168.741,179.279,203.43,228.223,18.412
-7.42481,0.975561,0.0804643,4,19,0,9.63345,0.337467,68.4605,-0.0254118,0.337467,68.4605,-0.0254118,70.7435,71.483,72.6371,74.6729,75.0536,75.9149,75.9585,79.1373,79.6113,83.1653,84.6128,85.6685,85.6898,87.0133,88.1089,89.5028,89.9715,90.0679,96.7407,102.222,106.836,108.936,115.503,115.861,117.299,127.492,148.595,153.927,159.707,168.54,188.788,209.595,14.8203
-7.97776,0.932771,0.0804643,4,31,0,8.42645,0.318635,64.7116,0.125063,0.318635,64.7116,0.125063,68.163,69.0111,70.2871,72.4514,72.8477,73.7369,73.7817,76.9948,77.4669,80.9669,82.376,83.399,83.4196,84.697,85.7507,87.087,87.5353,87.6274,93.9647,99.1246,103.447,105.408,111.526,111.858,113.195,122.647,142.138,147.052,152.377,160.507,179.131,198.253,15.6743
-8.41525,0.961047,0.0804643,3,7,0,8.54259,0.330599,65.3954,0.274049,0.330599,65.3954,0.274049,70.4439,71.5164,73.0902,75.6848,76.1523,77.1942,77.2464,80.9459,81.4827,85.4209,86.9893,88.1228,88.1456,89.5556,90.7145,92.1793,92.6696,92.7703,99.6482,105.193,109.809,111.896,118.384,118.736,120.149,130.108,150.513,155.639,161.186,169.644,188.981,208.795,16.614
-8.29332,0.974488,0.0804643,3,15,0,9.74432,0.367601,64.3648,0.190218,0.367601,64.3648,0.190218,68.9956,70.0487,71.6112,74.2186,74.6915,75.7482,75.8013,79.5778,80.1283,84.18,85.799,86.9706,86.9942,88.453,89.6532,91.1713,91.6797,91.7841,98.9283,104.698,109.505,111.68,118.443,118.809,120.283,130.666,151.938,157.28,163.061,171.874,192.014,212.642,16.2504
-7.80663,0.978536,0.0804643,5,39,0,9.21705,0.331689,74.4397,-0.283714,0.331689,74.4397,-0.283714,73.8928,74.2768,74.9791,76.4074,76.6934,77.3574,77.3916,80.002,80.4077,83.5493,84.8699,85.8453,85.8651,87.101,88.1339,89.4597,89.9082,90.0006,96.5098,101.985,106.659,108.801,115.554,115.923,117.412,128.029,150.269,155.924,162.067,171.472,193.099,215.385,15.4113
-7.38154,0.981444,0.0804643,5,31,0,8.06912,0.340172,68.3064,-0.0964883,0.340172,68.3064,-0.0964883,69.8401,70.4816,71.509,73.3693,73.7219,74.5238,74.5646,77.5635,78.0147,81.4216,82.8188,83.8408,83.8615,85.1457,86.2111,87.5693,88.0266,88.1207,94.6594,100.059,104.62,106.698,113.21,113.565,114.994,125.13,146.171,151.495,157.269,166.095,186.343,207.162,14.7278
-7.4574,0.99741,0.0804643,5,31,0,7.85501,0.35168,73.8048,-0.361057,0.35168,73.8048,-0.361057,72.2635,72.5324,73.093,74.3416,74.601,75.2109,75.2426,77.7116,78.1022,81.165,82.4676,83.4339,83.4536,84.6825,85.7128,87.039,87.4885,87.5811,94.1413,99.6946,104.451,106.634,113.525,113.903,115.423,126.281,149.052,154.845,161.136,170.769,192.915,215.729,14.758
-7.76138,0.962376,0.0804643,5,39,0,8.22851,0.272081,69.8574,-0.0187488,0.272081,69.8574,-0.0187488,71.8,72.4206,73.3895,75.1015,75.4222,76.1484,76.1852,78.8739,79.2759,82.2997,83.5358,84.4389,84.4572,85.5912,86.5316,87.7298,88.1332,88.2162,93.9836,98.7511,102.783,104.622,110.395,110.71,111.977,120.992,139.789,144.56,149.741,157.672,175.91,194.712,15.5194
-7.96981,0.999556,0.0804643,4,31,0,8.9966,0.392855,69.2047,-0.238343,0.392855,69.2047,-0.238343,69.1899,69.6939,70.5723,72.2881,72.6253,73.4025,73.4423,76.4428,76.9035,80.4344,81.9031,82.9831,83.005,84.3681,85.5033,86.9554,87.4454,87.5463,94.6007,100.47,105.446,107.717,114.845,115.234,116.799,127.915,151.006,156.848,163.182,172.862,195.055,217.854,15.8982
