lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,H0,zeta,theta.1,theta.2,theta.3,H_theo.1,H_theo.2,H_theo.3,H_theo.4,H_theo.5,H_theo.6,H_theo.7,H_theo.8,H_theo.9,H_theo.10,H_theo.11,H_theo.12,H_theo.13,H_theo.14,H_theo.15,H_theo.16,H_theo.17,H_theo.18,H_theo.19,H_theo.20,H_theo.21,H_theo.22,H_theo.23,H_theo.24,H_theo.25,H_theo.26,H_theo.27,H_theo.28,H_theo.29,H_theo.30,H_theo.31,H_theo.32,chi
# Adaptation terminated
# Step size = 0.094574
# Diagonal elements of inverse mass matrix:
# 0.00431774, 59.3123, 0.727336
-7.90358,0.981626,0.094574,5,31,0,8.41905,0.319274,62.004,0.447298,0.319274,62.004,0.447298,68.1295,69.3041,70.9948,73.72,74.2046,75.2788,75.3325,79.0926,79.6327,83.5608,85.1114,86.228,86.2505,87.6349,88.7697,90.2,90.6779,90.7759,97.4387,102.768,107.182,109.174,115.346,115.68,117.021,126.449,145.674,150.489,155.697,163.63,181.741,200.273,15.1643
-8.21247,0.957558,0.094574,5,31,0,8.72458,0.36415,64.5436,0.00776265,0.36415,64.5436,0.00776265,67.2193,68.0164,69.247,71.3918,71.7903,72.6894,72.7348,76.0289,76.5175,80.1652,81.6439,82.7202,82.7419,84.0889,85.2022,86.6165,87.0915,87.1891,93.9276,99.4359,104.059,106.158,112.714,113.07,114.503,124.641,145.551,150.822,156.532,165.25,185.21,205.691,16.1108
-7.27695,0.967933,0.094574,4,23,0,9.57014,0.339079,69.8858,-0.153427,0.339079,69.8858,-0.153427,70.8212,71.3904,72.3273,74.0688,74.4033,75.1678,75.2068,78.1019,78.5411,81.8794,83.2576,84.2681,84.2886,85.5613,86.6193,87.9704,88.4259,88.5196,95.0589,100.486,105.083,107.181,113.766,114.126,115.572,125.85,147.239,152.658,158.537,167.529,188.17,209.406,14.5474
-7.71593,0.949141,0.094574,4,27,0,8.12291,0.360615,65.5566,0.00593743,0.360615,65.5566,0.00593743,68.2288,69.0283,70.2634,72.4177,72.8182,73.7217,73.7674,77.0799,77.5714,81.242,82.7306,83.8143,83.8361,85.1925,86.3138,87.7383,88.2168,88.3151,95.1053,100.658,105.32,107.437,114.05,114.409,115.856,126.085,147.193,152.515,158.282,167.085,187.245,207.936,15.2197
-7.45749,0.999376,0.094574,5,31,0,7.99943,0.292916,67.3459,0.141909,0.292916,67.3459,0.141909,70.8048,71.6396,72.8928,75.0145,75.4028,76.2736,76.3174,79.4628,79.925,83.3517,84.7319,85.7341,85.7543,87.0061,88.039,89.3492,89.7889,89.8792,96.0995,101.171,105.424,107.355,113.384,113.712,115.03,124.359,143.635,148.501,153.777,161.836,180.315,199.308,14.8441
-7.37189,0.971993,0.094574,3,15,0,7.94948,0.307712,67.2785,0.0941439,0.307712,67.2785,0.0941439,70.4574,71.2724,72.507,74.6173,75.0055,75.8779,75.9219,79.0893,79.5564,83.0289,84.4312,85.4506,85.4711,86.7455,87.7978,89.1336,89.5821,89.6743,96.0284,101.218,105.574,107.552,113.732,114.068,115.42,124.988,144.763,149.756,155.168,163.437,182.392,201.871,14.6694
-8.12346,0.824921,0.094574,2,3,0,8.53829,0.304443,66.5579,0.0213844,0.304443,66.5579,0.0213844,68.9988,69.7079,70.801,72.7054,73.0594,73.8582,73.8986,76.8306,77.2663,80.5249,81.8492,82.8143,82.8338,84.043,85.0436,86.3161,86.7439,86.8318,92.9186,97.9171,102.126,104.042,110.036,110.362,111.676,120.988,140.297,145.182,150.479,158.578,177.161,196.277,16.1284
-7.67501,0.998443,0.094574,3,15,0,8.39603,0.310064,68.282,0.0977987,0.310064,68.282,0.0977987,71.5675,72.4053,73.6732,75.8385,76.2365,77.1309,77.1759,80.4211,80.8994,84.4538,85.8886,86.9314,86.9524,88.2558,89.3319,90.6978,91.1563,91.2505,97.7446,103.046,107.494,109.514,115.823,116.166,117.545,127.31,147.482,152.574,158.093,166.524,185.849,205.706,15.32
-7.62267,0.993093,0.094574,3,15,0,7.84966,0.314471,67.2839,-0.00965522,0.314471,67.2839,-0.00965522,69.5303,70.2297,71.3169,73.2276,73.5844,74.3909,74.4317,77.4048,77.8478,81.1691,82.5218,83.5085,83.5284,84.7654,85.7896,87.0929,87.5312,87.6213,93.8647,98.9986,103.324,105.294,111.458,111.794,113.145,122.725,142.594,147.62,153.071,161.404,180.523,200.187,15.1707
-7.62733,0.999717,0.094574,5,31,0,7.76284,0.290782,69.918,0.0376428,0.290782,69.918,0.0376428,72.5203,73.2533,74.379,76.333,76.6955,77.5131,77.5544,80.5505,80.9952,84.3198,85.6702,86.6542,86.674,87.9068,88.9267,90.2238,90.6598,90.7495,96.9539,102.05,106.343,108.297,114.413,114.746,116.087,125.595,145.327,150.322,155.74,164.025,183.046,202.622,15.2542
-7.60086,0.989155,0.094574,5,31,0,8.48416,0.286917,72.9996,-0.232602,0.286917,72.9996,-0.232602,73.0452,73.4417,74.1312,75.479,75.7444,76.3566,76.3881,78.7629,79.1291,81.9498,83.1302,84.0008,84.0184,85.1202,86.0403,87.2204,87.6195,87.7017,93.4885,98.356,102.514,104.421,110.438,110.768,112.096,121.579,141.513,146.595,152.119,160.586,180.091,200.232,15.1105
-8.02392,0.965188,0.094574,2,3,0,8.06892,0.284765,73.7876,-0.149694,0.284765,73.7876,-0.149694,74.6547,75.1658,76.0069,77.5715,77.8723,78.5605,78.5956,81.2082,81.6055,84.6331,85.8868,86.8076,86.8263,87.9876,88.9543,90.1907,90.6079,90.6938,96.7063,101.725,105.992,107.945,114.091,114.427,115.78,125.426,145.627,150.766,156.35,164.903,184.589,204.9,15.9032
-8.3637,0.846372,0.094574,2,3,0,9.57135,0.286973,73.6686,-0.116849,0.286973,73.6686,-0.116849,74.8658,75.4245,76.3289,77.9854,78.3015,79.0223,79.0589,81.7751,82.1861,85.3056,86.5924,87.536,87.555,88.7435,89.7315,90.9937,91.4194,91.5069,97.6249,102.715,107.035,109.01,115.218,115.557,116.923,126.648,146.978,152.144,157.757,166.35,186.117,206.502,16.592
-7.58723,0.999076,0.094574,3,11,0,8.73922,0.292907,71.8231,-0.202901,0.292907,71.8231,-0.202901,72.1646,72.6037,73.35,74.7797,75.0585,75.6996,75.7324,78.1974,78.5754,81.4737,82.6812,83.5702,83.5882,84.7116,85.6484,86.8484,87.2539,87.3373,93.1996,98.1124,102.3,104.218,110.262,110.593,111.925,121.429,141.36,146.434,151.948,160.396,179.842,199.907,15.1406
-8.8626,0.83758,0.094574,3,15,0,9.72847,0.296871,70.9834,0.0570183,0.296871,70.9834,0.0570183,73.866,74.6499,75.8478,77.9157,78.2981,79.1597,79.2032,82.3498,82.8158,86.2925,87.7018,88.7278,88.7485,90.0329,91.0949,92.4445,92.898,92.9912,99.4343,104.716,109.159,111.18,117.5,117.845,119.229,129.041,149.374,154.516,160.092,168.617,188.176,208.295,17.7155
