# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = cmb4_4_model
# start_datetime = 2023-07-27 08:25:27 UTC
# method = sample (Default)
#   sample
#     num_samples = 5000
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = Model3/Data/cmb.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpi41g4h3w/qahj9hqm.json
# random
#   seed = 43854
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output3/cmb/cmb4_4-20230727092527_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,H0,Omb,Om,c,h,Omega_b,Omega_c,wr,Omega_r,lambda,g1,g2,zstar,faketheta.1,faketheta.2,faketheta.3,faketheta.4,faketheta.5,faketheta.6,y1,dy1,y2,dy2,S.1.1,S.1.2,sol,la,R,wb,x.1,x.2,x.3
# Adaptation terminated
# Step size = 0.0209741
# Diagonal elements of inverse mass matrix:
# 0.000121075, 2.48121e-05, 8.03846e-05
3.74575,0.934953,0.0209741,2,7,0,-2.9596,72.6631,0.0421669,0.267926,299790,0.726631,0.0421669,0.22576,4.15e-05,7.85997e-05,0.411174,0.0611527,0.548187,1091.93,0.726631,0.0421669,0.22576,7.85997e-05,0.411174,1091.93,1,0.287507,0,1,21492.4,3.37088,0.0351085,301.635,1.74482,0.0222638,0.0645408,0.00411996,-1.62361e-05
1.56357,0.777757,0.0209741,2,7,0,2.00301,72.6008,0.0420558,0.267189,299790,0.726008,0.0420558,0.225134,4.15e-05,7.87345e-05,0.411441,0.0613552,0.548278,1092.01,0.726008,0.0420558,0.225134,7.87345e-05,0.411441,1092.01,1,0.286586,0,1,21477.2,3.3746,0.0351299,301.784,1.74434,0.0221671,0.213894,0.00364393,-0.000112913
1.18096,0.999449,0.0209741,4,19,0,-0.628504,72.8343,0.0420328,0.267471,299790,0.728343,0.0420328,0.225438,4.15e-05,7.82305e-05,0.411339,0.0610819,0.548155,1091.92,0.728343,0.0420328,0.225438,7.82305e-05,0.411339,1091.92,1,0.286937,0,1,21465.9,3.37326,0.0351602,301.404,1.74457,0.0222977,-0.166144,0.00387061,1.76987e-05
2.74032,0.989018,0.0209741,7,143,0,0.30232,74.2144,0.0406744,0.252202,299790,0.742144,0.0406744,0.211527,4.15e-05,7.5348e-05,0.41686,0.0608644,0.548056,1091.51,0.742144,0.0406744,0.211527,7.5348e-05,0.41686,1091.51,1,0.268022,0,1,20885.6,3.45463,0.0360067,301.417,1.7349,0.0224025,-0.153418,-0.00579667,0.000122542
2.60945,0.861183,0.0209741,2,3,0,-1.126,74.1815,0.0408331,0.251839,299790,0.741815,0.0408331,0.211006,4.15e-05,7.54148e-05,0.416991,0.0607252,0.547992,1091.38,0.741815,0.0408331,0.211006,7.54148e-05,0.416991,1091.38,1,0.267576,0,1,20872.7,3.4566,0.0360035,301.616,1.73465,0.02247,0.0460001,-0.00605214,0.000190045
3.46902,0.944016,0.0209741,2,7,0,-2.07136,74.1848,0.040646,0.25187,299790,0.741848,0.040646,0.211224,4.15e-05,7.54081e-05,0.41698,0.0609337,0.548088,1091.53,0.741848,0.040646,0.211224,7.54081e-05,0.41698,1091.53,1,0.267615,0,1,20878,3.45644,0.0360157,301.5,1.73467,0.0223691,-0.0703949,-0.0060268,8.90519e-05
2.99173,0.993952,0.0209741,4,31,0,-2.05645,74.2529,0.0405007,0.250514,299790,0.742529,0.0405007,0.210013,4.15e-05,7.52699e-05,0.417467,0.0610147,0.548125,1091.54,0.742529,0.0405007,0.210013,7.52699e-05,0.417467,1091.54,1,0.265951,0,1,20831.2,3.46398,0.036086,301.568,1.73377,0.02233,-0.00161181,-0.00693234,4.99953e-05
2.99128,0.983058,0.0209741,3,7,0,-2.8375,74.2537,0.0405109,0.250522,299790,0.742537,0.0405109,0.210011,4.15e-05,7.52683e-05,0.417464,0.061002,0.548119,1091.53,0.742537,0.0405109,0.210011,7.52683e-05,0.417464,1091.53,1,0.26596,0,1,20831.2,3.46393,0.0360852,301.572,1.73377,0.0223361,0.00174477,-0.00692704,5.61313e-05
2.62824,0.938611,0.0209741,4,15,0,-2.02404,74.3097,0.0404327,0.250618,299790,0.743097,0.0404327,0.210186,4.15e-05,7.51549e-05,0.417429,0.0610217,0.548128,1091.57,0.743097,0.0404327,0.210186,7.51549e-05,0.417429,1091.57,1,0.266079,0,1,20831.5,3.46342,0.0360964,301.434,1.73385,0.0223267,-0.136069,-0.00684784,4.66601e-05
3.21126,0.999642,0.0209741,7,143,0,-2.31729,72.3222,0.0425012,0.271646,299790,0.723222,0.0425012,0.229145,4.15e-05,7.93422e-05,0.409818,0.0612227,0.548218,1092.03,0.723222,0.0425012,0.229145,7.93422e-05,0.409818,1092.03,1,0.292167,0,1,21632.9,3.35203,0.0349088,301.663,1.74707,0.0222303,0.0932158,0.00636747,-4.97198e-05
