# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = cmb3_model
# start_datetime = 2023-07-27 10:33:05 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = Meu_Codigo_Normal_Model/CMB/data/cmb.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmphxu43met/hsfotjd6.json
# random
#   seed = 22372
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/normal/cmb/cmb3-20230727113305_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,H0,Omb,Om,h,Omega_b,Omega_c,wr,Omega_r,Omega_L,theta.1,theta.2,theta.3,theta.4,theta.5,g1,g2,zstar,z0,v0.1,sol_v.1.1,v,g,la,R,wb,x.1,x.2,x.3
# Adaptation terminated
# Step size = 0.0272212
# Diagonal elements of inverse mass matrix:
# 6.04859e-05, 2.46337e-05, 5.36695e-05
1.14834,0.792997,0.0272212,4,15,0,5.76558,69.5242,0.0465883,0.287137,0.695242,0.0465883,0.240549,4.15e-05,8.5857e-05,0.712777,0.695242,0.0465883,0.240549,8.5857e-05,0.712777,0.0606246,0.547946,1091.33,0,0,3.23506,3.23506,0.0337248,301.358,1.73351,0.022519,-0.211679,-0.0071865,0.000239001
2.08101,0.987451,0.0272212,2,3,0,-1.07441,69.5146,0.0467084,0.286999,0.695146,0.0467084,0.24029,4.15e-05,8.58807e-05,0.712916,0.695146,0.0467084,0.24029,8.58807e-05,0.712916,0.0605186,0.547897,1091.25,0,0,3.23567,3.23567,0.0337206,301.453,1.73342,0.0225708,-0.116933,-0.00727706,0.000290825
1.88515,0.907404,0.0272212,6,127,0,1.55055,69.071,0.0467587,0.290025,0.69071,0.0467587,0.243266,4.15e-05,8.69875e-05,0.709889,0.69071,0.0467587,0.243266,8.69875e-05,0.709889,0.0610612,0.548146,1091.59,0,0,3.22206,3.22206,0.0335553,301.663,1.7352,0.0223077,0.0925636,-0.00549651,2.76594e-05
2.96606,0.777732,0.0272212,3,11,0,0.275902,69.1654,0.0466977,0.290253,0.691654,0.0466977,0.243555,4.15e-05,8.67502e-05,0.70966,0.691654,0.0466977,0.243555,8.67502e-05,0.70966,0.060995,0.548116,1091.59,0,0,3.22109,3.22109,0.0335677,301.461,1.73537,0.0223395,-0.109142,-0.00533334,5.94798e-05
3.11384,0.966054,0.0272212,6,95,0,-1.53649,68.869,0.0471128,0.29438,0.68869,0.0471128,0.247268,4.15e-05,8.74985e-05,0.705532,0.68869,0.0471128,0.247268,8.74985e-05,0.705532,0.0609829,0.54811,1091.65,0,0,3.20295,3.20295,0.0333765,301.481,1.73782,0.0223453,-0.0894733,-0.00287871,6.5314e-05
3.28214,0.94343,0.0272212,6,75,0,-2.49469,69.0081,0.0470769,0.292495,0.690081,0.0470769,0.245418,4.15e-05,8.71461e-05,0.707418,0.690081,0.0470769,0.245418,8.71461e-05,0.707418,0.0608312,0.548041,1091.52,0,0,3.21119,3.21119,0.0334557,301.541,1.7367,0.0224186,-0.0293987,-0.00399678,0.000138589
2.7641,0.896316,0.0272212,5,63,0,-1.03183,68.8134,0.0469714,0.293573,0.688134,0.0469714,0.246601,4.15e-05,8.76399e-05,0.70634,0.688134,0.0469714,0.246601,8.76399e-05,0.70634,0.0611975,0.548207,1091.75,0,0,3.20643,3.20643,0.0333982,301.612,1.73732,0.0222423,0.0419769,-0.0033802,-3.77175e-05
2.88504,0.963822,0.0272212,4,15,0,-1.44411,68.8427,0.0471404,0.294858,0.688427,0.0471404,0.247718,4.15e-05,8.75654e-05,0.705054,0.688427,0.0471404,0.247718,8.75654e-05,0.705054,0.0609911,0.548114,1091.67,0,0,3.20088,3.20088,0.033357,301.462,1.73811,0.0223413,-0.108333,-0.00259479,6.13455e-05
2.41942,0.993401,0.0272212,3,15,0,-1.95873,68.8077,0.0468287,0.293794,0.688077,0.0468287,0.246965,4.15e-05,8.76544e-05,0.706118,0.688077,0.0468287,0.246965,8.76544e-05,0.706118,0.0613469,0.548274,1091.86,0,0,3.20547,3.20547,0.0333987,301.518,1.73746,0.0221711,-0.0521531,-0.00324438,-0.000108949
1.2428,0.985917,0.0272212,3,7,0,-0.992564,68.7961,0.0466585,0.29322,0.687961,0.0466585,0.246562,4.15e-05,8.7684e-05,0.706692,0.687961,0.0466585,0.246562,8.7684e-05,0.706692,0.0615325,0.548356,1091.96,0,0,3.20796,3.20796,0.0334225,301.537,1.73711,0.022083,-0.0329894,-0.003594,-0.000196974
