# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = bao_model
# start_datetime = 2023-07-25 10:45:42 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Model3/Data/bao.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpkqw66c8c/_e_nzfz2.json
# random
#   seed = 18528
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output3/bao/bao-20230725114542.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,H0,Om,theta.1,theta.2,lambda,yy0.1,yy0.2,yp0.1,yp0.2,S.1.1,S.2.1,S.3.1,S.4.1,S.5.1,S.6.1,S.1.2,S.2.2,S.3.2,S.4.2,S.5.2,S.6.2,dv_theo.1,dv_theo.2,dv_theo.3,dv_theo.4,dv_theo.5,dv_theo.6,rf,c
# Adaptation terminated
# Step size = 0.367923
# Diagonal elements of inverse mass matrix:
# 0.0007232, 0.0149394
-0.181326,0.849205,0.367923,4,15,0,1.06262,75.7189,0.303323,75.7189,0.303323,0.39815,1,0,0.332518,1,1.14509,1.22048,1.31478,1.33831,1.44741,2.30196,0.300677,0.402248,0.504935,0.527552,0.620996,1.05553,1245.83,1646.61,2037.6,2121.6,2459.94,3832.82,150,299790
-0.628854,0.614983,0.367923,2,3,0,4.37801,73.9879,0.344966,73.9879,0.344966,0.382319,1,0,0.387954,1,1.16796,1.25394,1.3603,1.38667,1.50812,2.43743,0.297851,0.397072,0.496666,0.518509,0.608438,1.02161,1285.22,1690.6,2082.22,2165.88,2501.37,3845.02,150,299790
-3.34451,0.533001,0.367923,1,1,0,3.45033,73.5246,0.35996,73.5246,0.35996,0.376485,1,0,0.408539,1,1.17628,1.26602,1.37658,1.40392,1.52962,2.48446,0.296833,0.395228,0.493756,0.515336,0.604078,1.01027,1297.14,1703.48,2094.75,2178.19,2512.32,3845.29,150,299790
0.857698,0.971741,0.367923,2,7,0,3.13497,74.4212,0.300326,74.4212,0.300326,0.399269,1,0,0.328627,1,1.14347,1.21809,1.31149,1.33481,1.44299,2.29192,0.300879,0.402623,0.50554,0.528215,0.621925,1.05812,1254.49,1658.65,2053.23,2138.03,2479.75,3867.84,150,299790
0.90853,0.935096,0.367923,3,7,0,-0.369298,73.7728,0.312974,73.7728,0.312974,0.394528,1,0,0.34514,1,1.15035,1.22822,1.32536,1.34957,1.4616,2.33403,0.300023,0.401042,0.502995,0.525427,0.618026,1.04733,1268.2,1674.29,2069.51,2154.3,2495.44,3875.08,150,299790
1.10044,0.95454,0.367923,2,7,0,-0.343817,74.7665,0.309649,74.7665,0.309649,0.395779,1,0,0.340775,1,1.14854,1.22555,1.32172,1.34569,1.45672,2.32303,0.300248,0.401457,0.503662,0.526157,0.619045,1.05013,1257.74,1661.13,2054.04,2138.37,2477.81,3852.09,150,299790
0.743241,0.877881,0.367923,2,3,0,-0.157042,74.9745,0.304474,74.9745,0.304474,0.397719,1,0,0.334017,1,1.14572,1.22141,1.31604,1.33965,1.44911,2.30581,0.300599,0.402104,0.504703,0.527297,0.62064,1.05454,1252.67,1655.43,2048.23,2132.61,2472.41,3850.68,150,299790
1.15211,1,0.367923,3,11,0,-0.595196,75.9737,0.355573,75.9737,0.355573,0.3782,1,0,0.402482,1,1.17384,1.26248,1.37183,1.39888,1.52335,2.47079,0.297131,0.395766,0.494603,0.51626,0.605345,1.01355,1274.13,1674.05,2059.51,2141.75,2471.22,3787.03,150,299790
0.206687,0.918559,0.367923,2,3,0,-0.179193,77.4695,0.339661,77.4695,0.339661,0.384365,1,0,0.380749,1,1.16502,1.24967,1.35453,1.38054,1.50046,2.42058,0.298212,0.397727,0.497704,0.519643,0.610001,1.02573,1253.55,1649.92,2033.27,2115.22,2444.02,3762.85,150,299790
0.335376,0.991548,0.367923,4,15,0,2.10008,74.1723,0.335987,74.1723,0.335987,0.385778,1,0,0.375785,1,1.16299,1.24671,1.35052,1.37629,1.49515,2.40884,0.298461,0.398182,0.498426,0.520431,0.61109,1.02862,1278.64,1683.64,2075.67,2159.51,2496.03,3847.23,150,299790
