# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = bao_model
# start_datetime = 2023-07-25 13:30:46 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Model3/Data/bao.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpk2mlqffo/go02ozrp.json
# random
#   seed = 89813
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output3/bao/bao-20230725143046.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,H0,Om,theta.1,theta.2,lambda,yy0.1,yy0.2,yp0.1,yp0.2,S.1.1,S.2.1,S.3.1,S.4.1,S.5.1,S.6.1,S.1.2,S.2.2,S.3.2,S.4.2,S.5.2,S.6.2,dv_theo.1,dv_theo.2,dv_theo.3,dv_theo.4,dv_theo.5,dv_theo.6,rf,c
# Adaptation terminated
# Step size = 0.293347
# Diagonal elements of inverse mass matrix:
# 0.0010928, 0.0179356
1.1275,0.963415,0.293347,4,15,0,1.95598,74.7441,0.310284,74.7441,0.310284,0.39554,1,0,0.341608,1,1.14889,1.22606,1.32241,1.34643,1.45765,2.32513,0.300205,0.401378,0.503534,0.526017,0.61885,1.0496,1258.34,1661.79,2054.7,2139.03,2478.41,3852.19,150,299790
-0.246701,0.77249,0.293347,3,11,0,2.42963,77.1191,0.405149,77.1191,0.405149,0.358449,1,0,0.472612,1,1.20161,1.30239,1.42518,1.45534,1.59323,2.62125,0.293765,0.389745,0.485211,0.506042,0.591439,0.978501,1287.35,1682.64,2059.95,2140.03,2459.55,3721.52,150,299790
-0.422865,0.987121,0.293347,3,7,0,0.560632,77.2208,0.409829,77.2208,0.409829,0.35654,1,0,0.479423,1,1.20425,1.30615,1.43016,1.46061,1.59972,2.63501,0.293448,0.389184,0.484345,0.505102,0.590171,0.9754,1288.39,1683.22,2059.76,2139.64,2458.26,3715.57,150,299790
0.93192,1,0.293347,2,3,0,0.446325,77.3217,0.377959,77.3217,0.377959,0.369385,1,0,0.433694,1,1.18634,1.28051,1.39603,1.42452,1.55517,2.53981,0.29561,0.39303,0.490312,0.511586,0.598955,0.997205,1273.95,1669.8,2049.58,2130.41,2453.59,3737.33,150,299790
0.340708,0.935289,0.293347,3,7,0,-0.265948,76.9412,0.391235,76.9412,0.391235,0.364077,1,0,0.452558,1,1.19378,1.2912,1.4103,1.43961,1.57384,2.57989,0.294709,0.391421,0.487805,0.50886,0.595251,0.987923,1282.97,1679.31,2058.58,2139.19,2461.14,3736.32,150,299790
0.98335,0.974512,0.293347,2,7,0,1.32143,75.3149,0.313404,75.3149,0.313404,0.394366,1,0,0.345706,1,1.15059,1.22857,1.32583,1.35007,1.46223,2.33545,0.299994,0.400988,0.502908,0.525332,0.617894,1.04697,1255.6,1657.57,2048.75,2132.66,2470.27,3835.44,150,299790
1.22788,0.984872,0.293347,2,3,0,-0.840623,75.0485,0.31698,75.0485,0.31698,0.393017,1,0,0.350418,1,1.15254,1.23144,1.32975,1.35423,1.46747,2.34721,0.299751,0.400543,0.502193,0.52455,0.616804,1.04399,1260.02,1662.73,2054.27,2138.22,2475.84,3839.45,150,299790
0.898603,0.975388,0.293347,2,7,0,-0.644368,73.602,0.307526,73.602,0.307526,0.396576,1,0,0.337999,1,1.14738,1.22385,1.31939,1.34321,1.4536,2.31598,0.300392,0.401723,0.504088,0.526624,0.619698,1.05193,1266.14,1672.63,2068.77,2153.82,2496.24,3883.62,150,299790
-0.348517,0.787259,0.293347,2,7,0,1.77226,73.9801,0.341354,73.9801,0.341354,0.383713,1,0,0.383043,1,1.16596,1.25103,1.35637,1.38249,1.50291,2.42597,0.298097,0.397518,0.497372,0.519281,0.609501,1.02441,1283.3,1688.75,2080.75,2164.53,2500.62,3848.01,150,299790
-1.47778,0.990338,0.293347,3,11,0,3.02083,79.4324,0.366837,79.4324,0.366837,0.373785,1,0,0.418093,1,1.18012,1.27155,1.38402,1.41181,1.53941,2.50575,0.296365,0.394386,0.492434,0.513896,0.602106,1.00521,1251.98,1642.95,2018.89,2098.99,2419.58,3696.38,150,299790
