# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = bao_model
# start_datetime = 2023-07-21 15:11:21 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Model3/Data/bao.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmp01ars5w5/z3ukat6_.json
# random
#   seed = 35118
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output3/bao/bao-20230721161121.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,H0,Om,theta.1,theta.2,lambda,yy0.1,yy0.2,yp0.1,yp0.2,S.1.1,S.2.1,S.3.1,S.4.1,S.5.1,S.6.1,S.1.2,S.2.2,S.3.2,S.4.2,S.5.2,S.6.2,dv_theo.1,dv_theo.2,dv_theo.3,dv_theo.4,dv_theo.5,dv_theo.6,rf,c
# Adaptation terminated
# Step size = 0.318335
# Diagonal elements of inverse mass matrix:
# 0.00104139, 0.018858
-8.78389,0.790746,0.318335,1,1,0,9.85845,65.9071,0.230401,65.9071,0.230401,0.42466,1,0,0.241472,1,1.10629,1.16268,1.23455,1.25272,1.33805,2.04457,0.305578,0.411449,0.520024,0.544148,0.64461,1.1255,1272.24,1696.69,2119.33,2211.25,2585.49,4156.28,150,299790
-0.914838,0.990894,0.318335,3,15,0,8.72701,77.7712,0.331553,77.7712,0.331553,0.387476,1,0,0.369819,1,1.16055,1.24315,1.34569,1.37115,1.48872,2.3946,0.298762,0.398731,0.4993,0.521386,0.61241,1.03213,1246.64,1642.32,2025.71,2107.76,2437.2,3761.73,150,299790
0.193288,0.614511,0.318335,2,7,0,5.04526,76.4056,0.385146,76.4056,0.385146,0.366519,1,0,0.443874,1,1.19036,1.2863,1.40376,1.4327,1.56529,2.56158,0.295122,0.392158,0.488951,0.510106,0.596942,0.992144,1284.72,1682.65,2063.89,2144.97,2468.96,3753.86,150,299790
0.345801,1,0.318335,2,3,0,-0.0859145,78.0336,0.35779,78.0336,0.35779,0.377334,1,0,0.405539,1,1.17508,1.26427,1.37423,1.40143,1.52652,2.47771,0.29698,0.395494,0.494175,0.515793,0.604704,1.01189,1258.55,1653.19,2033.37,2114.47,2439.27,3735.74,150,299790
-1.17875,0.848794,0.318335,2,7,0,1.36341,75.5582,0.387261,75.5582,0.387261,0.365673,1,0,0.446883,1,1.19155,1.288,1.40603,1.4351,1.56826,2.56795,0.294978,0.391901,0.488553,0.509672,0.596353,0.990671,1292.74,1692.79,2075.91,2157.37,2482.81,3772.93,150,299790
1.13155,1,0.318335,2,3,0,0.998522,76.3676,0.335202,76.3676,0.335202,0.386079,1,0,0.374726,1,1.16256,1.24608,1.34967,1.37538,1.49401,2.40632,0.298515,0.398279,0.49858,0.5206,0.611323,1.02924,1259.95,1659.17,2045.68,2128.35,2460.19,3792.9,150,299790
1.02945,0.932862,0.318335,3,15,0,-0.256512,74.3298,0.324351,74.3298,0.324351,0.390222,1,0,0.360192,1,1.15659,1.23736,1.33782,1.3628,1.47824,2.37129,0.299251,0.399625,0.500726,0.522944,0.614572,1.03794,1270.52,1675.15,2067.88,2152,2490.04,3852.11,150,299790
0.426262,0.901842,0.318335,1,3,0,-0.392954,74.0953,0.332665,74.0953,0.332665,0.387051,1,0,0.371312,1,1.16116,1.24404,1.3469,1.37244,1.49033,2.39818,0.298687,0.398593,0.49908,0.521146,0.612079,1.03125,1277.4,1682.63,2075.18,2159.17,2496.4,3851.75,150,299790
-0.0705227,0.961388,0.318335,2,3,0,0.191564,73.9306,0.336528,73.9306,0.336528,0.38557,1,0,0.376515,1,1.16329,1.24715,1.35111,1.37692,1.49593,2.41057,0.298424,0.398115,0.498319,0.520315,0.610929,1.02819,1281.01,1686.66,2079.26,2163.22,2500.19,3853,150,299790
1.34584,0.991186,0.318335,2,3,0,0.187448,75.229,0.329675,75.229,0.329675,0.388194,1,0,0.367302,1,1.15951,1.24164,1.34363,1.36898,1.48599,2.38854,0.29889,0.398964,0.499671,0.521791,0.612972,1.03364,1266.14,1668.37,2058.28,2141.74,2476.93,3825.3,150,299790
