# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = bao_model
# start_datetime = 2023-07-19 14:18:49 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Model2/Data/bao.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmprxp6705z/2zmdpp1c.json
# random
#   seed = 8536
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output2/bao/bao-20230719151849.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,H0,zeta,theta.1,theta.2,theta.3,dv_theo.1,dv_theo.2,dv_theo.3,dv_theo.4,dv_theo.5,dv_theo.6,rf,c
# Adaptation terminated
# Step size = 0.166016
# Diagonal elements of inverse mass matrix:
# 0.00853777, 101.056, 50.4259
-10406.7,0.931897,0.166016,3,15,1,10407.4,0.38953,72.6077,6.89602,0.38953,72.6077,6.89602,0.125321,0.152768,0.17996,0.185975,0.211217,0.350079,150,299790
-10406.9,0.995888,0.166016,4,15,0,10408.1,0.420094,73.3114,5.85409,0.420094,73.3114,5.85409,0.132276,0.16145,0.190356,0.19675,0.223581,0.371127,150,299790
-10407.4,0.998533,0.166016,4,15,0,10407.7,0.457587,68.1637,6.27497,0.457587,68.1637,6.27497,0.13481,0.164447,0.193808,0.200303,0.227557,0.377461,150,299790
-10407.1,0.857063,0.166016,2,7,1,10408.5,0.451973,72.6206,4.31377,0.451973,72.6206,4.31377,0.140067,0.171382,0.202423,0.209289,0.238101,0.396435,150,299790
-10407.5,0.933835,0.166016,4,16,1,10409.1,0.402951,84.2193,3.87867,0.402951,84.2193,3.87867,0.13827,0.169351,0.200167,0.206984,0.235588,0.392742,150,299790
-10407,0.898348,0.166016,3,10,1,10409.4,0.386804,62.4725,6.39604,0.386804,62.4725,6.39604,0.12097,0.147551,0.173887,0.179712,0.204158,0.338616,150,299790
-10406.9,0.904757,0.166016,3,11,1,10412.4,0.288676,64.8223,8.04982,0.288676,64.8223,8.04982,0.103269,0.125749,0.148019,0.152946,0.17362,0.287397,150,299790
-10406.4,0.999375,0.166016,4,15,0,10407.2,0.291419,74.0091,3.53919,0.291419,74.0091,3.53919,0.114358,0.140204,0.16584,0.171511,0.195309,0.326014,150,299790
-10406.2,0.749908,0.166016,2,4,1,10407.1,0.297718,72.8305,2.37978,0.297718,72.8305,2.37978,0.11777,0.144909,0.171867,0.177833,0.202872,0.340315,150,299790
-10406.1,0.666667,0.166016,1,3,1,10407.1,0.312147,72.1342,1.27524,0.312147,72.1342,1.27524,0.123345,0.152609,0.181789,0.188257,0.215419,0.364564,150,299790
-10406,0.5,0.166016,1,2,1,10407.1,0.311624,70.1262,0.182291,0.311624,70.1262,0.182291,0.124409,0.155078,0.186136,0.193077,0.222419,0.386518,150,299790
-10406.3,0.705897,0.166016,2,4,1,10407.2,0.345637,72.8958,4.13582,0.345637,72.8958,4.13582,0.122863,0.150411,0.177721,0.183763,0.209113,0.348399,150,299790
-10406.3,0.749145,0.166016,2,4,1,10407.3,0.336939,76.554,2.18268,0.336939,76.554,2.18268,0.127458,0.156936,0.186225,0.192709,0.219919,0.36928,150,299790
-10406.2,0.5,0.166016,1,2,1,10406.9,0.33981,75.8529,0.948704,0.33981,75.8529,0.948704,0.131339,0.162853,0.19435,0.201338,0.230703,0.392103,150,299790
-10406.2,0.5,0.166016,1,2,1,10408.5,0.367816,74.0611,0.0193879,0.367816,74.0611,0.0193879,0.136305,0.169092,0.201801,0.209046,0.239442,0.405732,150,299790
-10406.6,0.663656,0.166016,5,31,0,10406.9,0.265538,62.6528,-0.0120721,0.265538,62.6528,-0.0120721,0.110468,0.1367,0.162513,0.168164,0.191519,0.293327,150,299790
-10406.6,0.200054,0.166016,1,2,1,10408.8,0.265538,62.6528,-0.0120721,0.265538,62.6528,-0.0120721,0.110468,0.1367,0.162513,0.168164,0.191519,0.293327,150,299790
-10406.6,0.109874,0.166016,2,4,1,10413.3,0.265538,62.6528,-0.0120721,0.265538,62.6528,-0.0120721,0.110468,0.1367,0.162513,0.168164,0.191519,0.293327,150,299790
-10407.5,0.772508,0.166016,4,15,0,10408,0.20081,60.975,3.59255,0.20081,60.975,3.59255,0.0901489,0.110528,0.130741,0.135213,0.153977,0.25703,150,299790
-10406.8,0.936935,0.166016,4,16,1,10408.9,0.31946,72.3885,9.99296,0.31946,72.3885,9.99296,0.109544,0.13318,0.156593,0.161772,0.183511,0.303217,150,299790
-10407.1,0.915244,0.166016,3,12,1,10408.1,0.315015,68.2467,12.027,0.315015,68.2467,12.027,0.105213,0.127754,0.150083,0.155023,0.175759,0.289998,150,299790
-10407.3,0.927479,0.166016,3,14,1,10407.9,0.331827,65.0188,12.6952,0.331827,65.0188,12.6952,0.106109,0.128795,0.151269,0.156241,0.177112,0.292114,150,299790
-10407.9,0.999141,0.166016,4,15,0,10408.3,0.346742,69.0609,16.9128,0.346742,69.0609,16.9128,0.106854,0.129472,0.15188,0.156838,0.177655,0.292439,150,299790
-10407.8,0.928078,0.166016,3,14,1,10408.5,0.384433,66.4119,15.2382,0.384433,66.4119,15.2382,0.112735,0.13668,0.160401,0.16565,0.187685,0.309154,150,299790
-10407.6,0.922993,0.166016,3,13,1,10408.4,0.412359,65.2187,11.8646,0.412359,65.2187,11.8646,0.119331,0.144903,0.170234,0.175838,0.199361,0.328957,150,299790
-10406.8,0.998997,0.166016,4,15,0,10408.1,0.351953,70.3016,9.38076,0.351953,70.3016,9.38076,0.114878,0.139723,0.164335,0.169779,0.19263,0.318439,150,299790
-10408.9,0.993202,0.166016,3,15,0,10409.4,0.224023,63.0496,18.2518,0.224023,63.0496,18.2518,0.0830039,0.100533,0.117901,0.121744,0.13788,0.226866,150,299790
-10409.1,0.95397,0.166016,4,24,1,10411.3,0.55519,77.0804,3.88538,0.55519,77.0804,3.88538,0.158783,0.194422,0.229753,0.237568,0.270362,0.450563,150,299790
-10409.1,0,0.166016,0,1,1,10414.8,0.55519,77.0804,3.88538,0.55519,77.0804,3.88538,0.158783,0.194422,0.229753,0.237568,0.270362,0.450563,150,299790
-10408.8,0.857018,0.166016,2,7,1,10409.4,0.546915,75.9666,3.44638,0.546915,75.9666,3.44638,0.158213,0.193922,0.229333,0.237167,0.270038,0.450621,150,299790
-10408.6,0.999545,0.166016,1,3,0,10408.9,0.536756,75.6881,3.25877,0.536756,75.6881,3.25877,0.15712,0.192678,0.227945,0.235747,0.268485,0.448324,150,299790
-10408.8,0.874105,0.166016,3,8,1,10409.4,0.540854,80.3536,1.49104,0.540854,80.3536,1.49104,0.166044,0.204959,0.243685,0.252262,0.288271,0.486025,150,299790
