# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = newbao_model
# start_datetime = 2023-07-20 10:25:22 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Modelo1/Data/bao.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpal26qh23/sm0lah0q.json
# random
#   seed = 23928
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output1/bao/newbao-20230720112522.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,H0,Om,zeta,theta.1,theta.2,theta.3,dv_theo.1,dv_theo.2,dv_theo.3,dv_theo.4,dv_theo.5,dv_theo.6,rf,c,dL.1,dL.2,dL.3,dL.4,dL.5,dL.6
# Adaptation terminated
# Step size = 0.0948409
# Diagonal elements of inverse mass matrix:
# 0.0109045, 0.000128136, 0.189245
3.84022,0.941241,0.0948409,3,11,0,-2.92383,71.2956,0.34903,0.0207569,71.2956,0.34903,0.0207569,1281.54,1677.39,2059.16,2140.81,2469.08,3808.07,150,299790,nan,nan,nan,nan,nan,nan
2.89432,0.589942,0.0948409,2,3,0,-0.305951,71.8781,0.349232,-0.0650173,71.8781,0.349232,-0.0650173,1286.04,1686.21,2072.85,2155.6,2488.33,3842.12,150,299790,nan,nan,nan,nan,nan,nan
2.67944,0.935813,0.0948409,5,63,0,0.305185,62.2948,0.225217,0.308797,62.2948,0.225217,0.308797,1253.11,1654.41,2049.46,2135.06,2483.35,3979.93,150,299790,nan,nan,nan,nan,nan,nan
3.88753,0.905388,0.0948409,3,15,0,-0.963028,64.5289,0.287038,0.44432,64.5289,0.287038,0.44432,1266.99,1656.57,2033.69,2114.65,2441.57,3813.25,150,299790,nan,nan,nan,nan,nan,nan
2.07725,0.858598,0.0948409,3,15,0,-1.54404,65.5116,0.25621,0.316839,65.5116,0.25621,0.316839,1247.21,1640.02,2023.73,2106.5,2441.99,3863.48,150,299790,nan,nan,nan,nan,nan,nan
2.41163,0.988977,0.0948409,3,15,0,-1.08783,63.7593,0.286401,0.299986,63.7593,0.286401,0.299986,1286.94,1686.75,2074.85,2158.26,2495.27,3906.48,150,299790,nan,nan,nan,nan,nan,nan
1.00391,0.886934,0.0948409,3,15,0,0.0951184,65.8601,0.283058,0.0673703,65.8601,0.283058,0.0673703,1285.45,1692.31,2089.44,2175,2521.09,3966.74,150,299790,nan,nan,nan,nan,nan,nan
3.70223,0.999823,0.0948409,3,11,0,-1.16045,64.202,0.289829,0.342299,64.202,0.289829,0.342299,1280.97,1677.08,2061.03,2143.49,2476.48,3870.13,150,299790,nan,nan,nan,nan,nan,nan
4.03548,1,0.0948409,1,1,0,-3.77043,64.4513,0.289225,0.347881,64.4513,0.289225,0.347881,1277.63,1672.68,2055.6,2137.84,2469.96,3860.38,150,299790,nan,nan,nan,nan,nan,nan
4.34736,0.998664,0.0948409,5,47,0,-2.88027,69.5991,0.322798,0.0855804,69.5991,0.322798,0.0855804,1274.97,1670.96,2054.22,2136.38,2467.41,3830.99,150,299790,nan,nan,nan,nan,nan,nan
3.38036,0.996291,0.0948409,5,63,0,-1.92523,60.2945,0.280379,0.774518,60.2945,0.280379,0.774518,1277.76,1663.73,2035.88,2115.66,2437.74,3797.89,150,299790,nan,nan,nan,nan,nan,nan
