# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = bao_model
# start_datetime = 2023-07-19 14:30:15 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Modelo1/Data/bao.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmp4szuegh3/bcgx00c_.json
# random
#   seed = 83815
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output1/bao/bao-20230719153015.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,H0,Om,zeta,theta.1,theta.2,theta.3,dv_theo.1,dv_theo.2,dv_theo.3,dv_theo.4,dv_theo.5,dv_theo.6,rf,c,dL.1,dL.2,dL.3,dL.4,dL.5,dL.6
# Adaptation terminated
# Step size = 0.0742815
# Diagonal elements of inverse mass matrix:
# 0.00997715, 9.40379e-05, 0.0571935
1.93128,0.997692,0.0742815,6,63,0,-0.0844864,56.8978,0.222111,0.406202,56.8978,0.222111,0.406202,1254.86,1654.43,2049.13,2134.9,2484.97,4013.71,150,299790,nan,nan,nan,nan,nan,nan
3.00192,0.998831,0.0742815,3,11,0,-1.83381,57.6557,0.247392,0.410897,57.6557,0.247392,0.410897,1263.33,1660.36,2050.41,2134.9,2478.77,3965.07,150,299790,nan,nan,nan,nan,nan,nan
2.04955,0.962611,0.0742815,6,63,0,-1.881,55.6341,0.324499,0.656276,55.6341,0.324499,0.656276,1271.3,1652.03,2020.92,2100.27,2421.57,3793.53,150,299790,nan,nan,nan,nan,nan,nan
3.29109,0.989057,0.0742815,6,63,0,-0.763335,60.4465,0.344976,0.409304,60.4465,0.344976,0.409304,1280.01,1665.47,2037.83,2117.71,2440.24,3794.31,150,299790,nan,nan,nan,nan,nan,nan
3.46567,0.98105,0.0742815,5,31,0,-2.84496,59.7201,0.301225,0.42473,59.7201,0.301225,0.42473,1267.11,1655.26,2032.77,2114.07,2443.42,3842.73,150,299790,nan,nan,nan,nan,nan,nan
1.74138,0.955083,0.0742815,5,31,0,-0.629079,62.149,0.395088,0.401069,62.149,0.395088,0.401069,1279.53,1657.9,2020.94,2098.54,2410.87,3707.94,150,299790,nan,nan,nan,nan,nan,nan
3.05421,0.996606,0.0742815,4,31,0,0.594828,60.6796,0.330082,0.421653,60.6796,0.330082,0.421653,1269.43,1653.7,2025.72,2105.64,2428.65,3790.49,150,299790,nan,nan,nan,nan,nan,nan
3.278,0.984373,0.0742815,3,15,0,-2.50951,60.4511,0.324596,0.356863,60.4511,0.324596,0.356863,1284.54,1675.81,2054.93,2136.39,2465.62,3850.64,150,299790,nan,nan,nan,nan,nan,nan
4.39562,0.99795,0.0742815,6,95,0,-2.29004,69.1532,0.32695,0.0636283,69.1532,0.32695,0.0636283,1273.34,1668.88,2052.07,2134.26,2465.6,3832.44,150,299790,nan,nan,nan,nan,nan,nan
2.96723,0.841818,0.0742815,4,31,0,-1.65806,73.0987,0.331777,0.0106559,73.0987,0.331777,0.0106559,1255.56,1646.46,2024.83,2105.92,2432.5,3772.17,150,299790,nan,nan,nan,nan,nan,nan
2.81175,0.993318,0.0742815,2,7,0,-2.67647,72.1401,0.33667,-0.0564417,72.1401,0.33667,-0.0564417,1285.36,1687.02,2075.43,2158.6,2493.12,3855.56,150,299790,nan,nan,nan,nan,nan,nan
3.94725,0.797108,0.0742815,3,7,0,-0.799152,73.3438,0.329602,-0.0213629,73.3438,0.329602,-0.0213629,1260.86,1654.82,2036.3,2118.07,2447.31,3795.38,150,299790,nan,nan,nan,nan,nan,nan
2.2095,0.843378,0.0742815,4,23,0,-0.565286,69.4377,0.345512,0.148073,69.4377,0.345512,0.148073,1258.19,1643.59,2015.75,2095.47,2416.6,3742.25,150,299790,nan,nan,nan,nan,nan,nan
2.99498,0.999966,0.0742815,3,7,0,-1.98097,68.732,0.345484,0.061346,68.732,0.345484,0.061346,1287.86,1684.96,2068.38,2150.46,2480.82,3835.7,150,299790,nan,nan,nan,nan,nan,nan
4.18516,1,0.0742815,2,3,0,-2.84078,69.6681,0.343946,0.0647919,69.6681,0.343946,0.0647919,1277.55,1671.62,2052.2,2133.7,2461.72,3808.04,150,299790,nan,nan,nan,nan,nan,nan
4.28871,0.999503,0.0742815,6,63,0,-3.71589,69.2898,0.338558,0.0907368,69.2898,0.338558,0.0907368,1271.19,1663.36,2042.47,2123.71,2450.95,3798.81,150,299790,nan,nan,nan,nan,nan,nan
3.19326,0.974245,0.0742815,5,31,0,-3.08303,72.8814,0.276837,-0.162788,72.8814,0.276837,-0.162788,1263.49,1672.37,2073.11,2159.53,2509.09,3954.59,150,299790,nan,nan,nan,nan,nan,nan
3.81024,0.99996,0.0742815,5,31,0,-2.87362,73.6887,0.368107,0.00236885,73.6887,0.368107,0.00236885,1272.35,1663.03,2038.7,2118.91,2440.89,3746.48,150,299790,nan,nan,nan,nan,nan,nan
3.35496,0.994764,0.0742815,6,63,0,-3.03299,60.9394,0.258589,0.295199,60.9394,0.258589,0.295199,1258.36,1654.6,2043.24,2127.31,2468.94,3931.96,150,299790,nan,nan,nan,nan,nan,nan
4.02401,0.96681,0.0742815,5,47,0,-1.05543,74.593,0.306569,-0.140787,74.593,0.306569,-0.140787,1267.39,1671.49,2064.78,2149.25,2489.79,3882.08,150,299790,nan,nan,nan,nan,nan,nan
3.60343,0.93921,0.0742815,5,63,0,-1.78171,69.0021,0.330966,0.121346,69.0021,0.330966,0.121346,1261.9,1651.51,2028.65,2109.55,2435.7,3785.12,150,299790,nan,nan,nan,nan,nan,nan
3.81235,0.967382,0.0742815,5,55,0,-1.43967,76.1507,0.3299,-0.150983,76.1507,0.3299,-0.150983,1274.23,1676.97,2066.99,2150.51,2486.29,3845.49,150,299790,nan,nan,nan,nan,nan,nan
3.15502,0.998566,0.0742815,5,31,0,-2.54306,71.7965,0.392953,0.0749401,71.7965,0.392953,0.0749401,1278.45,1665.06,2035.47,2114.43,2431.1,3715.19,150,299790,nan,nan,nan,nan,nan,nan
4.02018,0.998598,0.0742815,5,31,0,-2.92092,76.249,0.306869,-0.15674,76.249,0.306869,-0.15674,1258.31,1660.07,2051.08,2135.06,2473.51,3855.22,150,299790,nan,nan,nan,nan,nan,nan
2.82435,0.962629,0.0742815,5,31,0,-2.16345,85.0763,0.344248,-0.325598,85.0763,0.344248,-0.325598,1270.05,1676.46,2068.83,2152.57,2487.82,3812.34,150,299790,nan,nan,nan,nan,nan,nan
3.01648,0.849908,0.0742815,5,35,0,0.776106,67.4621,0.316636,0.168431,67.4621,0.316636,0.168431,1256.79,1645.78,2023.29,2104.39,2431.95,3797.42,150,299790,nan,nan,nan,nan,nan,nan
3.49917,0.999588,0.0742815,4,23,0,-2.51662,67.1405,0.313112,0.164168,67.1405,0.313112,0.164168,1258.92,1649.27,2028.34,2109.81,2438.93,3812.05,150,299790,nan,nan,nan,nan,nan,nan
3.02599,0.99014,0.0742815,5,63,0,-2.62302,73.3468,0.359526,0.0305905,73.3468,0.359526,0.0305905,1262.8,1650.95,2024.79,2104.69,2425.78,3734.09,150,299790,nan,nan,nan,nan,nan,nan
4.32571,0.847383,0.0742815,4,19,0,0.633526,71.0835,0.342335,0.0343999,71.0835,0.342335,0.0343999,1272.4,1666.08,2046.39,2127.82,2455.54,3797.99,150,299790,nan,nan,nan,nan,nan,nan
4.13832,0.974318,0.0742815,5,39,0,-3.52211,71.0632,0.307223,-0.0409011,71.0632,0.307223,-0.0409011,1271.44,1673.12,2063.85,2147.8,2486.56,3882.47,150,299790,nan,nan,nan,nan,nan,nan
2.91053,0.84207,0.0742815,3,15,0,-1.86121,73.3212,0.303381,-0.041129,73.3212,0.303381,-0.041129,1249.44,1644.82,2029.73,2112.48,2446.48,3824.81,150,299790,nan,nan,nan,nan,nan,nan
3.81463,0.995083,0.0742815,2,7,0,-2.56575,71.7699,0.315262,-0.0596538,71.7699,0.315262,-0.0596538,1275.69,1677.99,2068.7,2152.56,2490.59,3877.32,150,299790,nan,nan,nan,nan,nan,nan
