# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = cmb_model
# start_datetime = 2023-07-27 21:32:48 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = Model4/Data/cmb.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpyli5c534/d3la3cg2.json
# random
#   seed = 72628
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output4/cmb/cmb-20230727223248_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,H0,Omb,Om,lambda,h,Omega_b,Omega_c,wr,Omega_r,Omega_L,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,g1,g2,zstar,z0,v0.1,sol_v.1.1,v,g,la,R,wb,x.1,x.2,x.3
# Adaptation terminated
# Step size = 0.0492509
# Diagonal elements of inverse mass matrix:
# 0.00018289, 2.57309e-05, 0.344648, 3.3008e-05
-346.955,0.923981,0.0492509,5,31,0,347.87,76.1528,0.0407784,21.4558,1.39833,0.761528,0.0407784,21.415,4.15e-05,7.15609e-05,-20.4559,0.761528,0.0407784,21.415,7.15609e-05,-20.4559,1.39833,21.4558,0.0583983,0.546856,1316.33,0,0,0.35963,0.35963,0.00375417,300.948,1.66582,0.0236484,-0.621566,-0.074881,0.00136844
-347.361,0.782022,0.0492509,2,3,0,349.105,76.1079,0.0407333,21.4999,1.39847,0.761079,0.0407333,21.4592,4.15e-05,7.16455e-05,-20.5,0.761079,0.0407333,21.4592,7.16455e-05,-20.5,1.39847,21.4999,0.058501,0.546909,1316.96,0,0,0.35926,0.35926,0.00374937,301.023,1.66582,0.0235944,-0.547096,-0.0748849,0.00131436
-347.132,0.837824,0.0492509,2,3,0,348.986,76.037,0.0404258,21.5024,1.39826,0.76037,0.0404258,21.462,4.15e-05,7.17791e-05,-20.5025,0.76037,0.0404258,21.462,7.17791e-05,-20.5025,1.39826,21.5024,0.0589259,0.547125,1318.84,0,0,0.359287,0.359287,0.00375017,300.981,1.66604,0.0233727,-0.588536,-0.0746621,0.0010927
-347.194,0.770257,0.0492509,6,63,0,349.967,76.0978,0.0404721,22.1083,1.39523,0.760978,0.0404721,22.0679,4.15e-05,7.16646e-05,-21.1084,0.760978,0.0404721,22.0679,7.16646e-05,-21.1084,1.39523,22.1083,0.0588022,0.547063,1322.27,0,0,0.355292,0.355292,0.00370854,300.976,1.67057,0.0234369,-0.593521,-0.0701323,0.00115688
-350.773,0.586829,0.0492509,6,63,0,355.119,76.1676,0.0409198,20.2141,1.40458,0.761676,0.0409198,20.1732,4.15e-05,7.15331e-05,-19.2142,0.761676,0.0409198,20.1732,7.15331e-05,-19.2142,1.40458,20.2141,0.0582259,0.546766,1307.61,0,0,0.368378,0.368378,0.00384533,300.961,1.65623,0.0237396,-0.609134,-0.0844677,0.00145964
-350.679,0.605048,0.0492509,3,15,0,355.919,76.1306,0.0404773,20.3333,1.40311,0.761306,0.0404773,20.2928,4.15e-05,7.16027e-05,-19.3333,0.761306,0.0404773,20.2928,7.16027e-05,-19.3333,1.40311,20.3333,0.0587575,0.54704,1310.82,0,0,0.367692,0.367692,0.00384061,300.769,1.65801,0.0234601,-0.800555,-0.0826875,0.00118013
-350.549,1,0.0492509,2,3,0,351.507,76.1563,0.0410189,20.3774,1.40387,0.761563,0.0410189,20.3364,4.15e-05,7.15545e-05,-19.3775,0.761563,0.0410189,20.3364,7.15545e-05,-19.3775,1.40387,20.3774,0.0581311,0.546716,1308.16,0,0,0.367158,0.367158,0.00383236,300.979,1.6574,0.0237901,-0.590763,-0.0832999,0.00151005
-347.63,0.987732,0.0492509,6,63,0,351.821,75.503,0.0410998,21.8415,1.39795,0.75503,0.0410998,21.8004,4.15e-05,7.27981e-05,-20.8416,0.75503,0.0410998,21.8004,7.27981e-05,-20.8416,1.39795,21.8415,0.0588158,0.54707,1318.51,0,0,0.356747,0.356747,0.00372232,301.091,1.66726,0.0234298,-0.479216,-0.0734438,0.00114978
-348.109,0.730501,0.0492509,5,43,0,352.822,74.5456,0.0429599,20.8923,1.40271,0.745456,0.0429599,20.8494,4.15e-05,7.468e-05,-19.8924,0.745456,0.0429599,20.8494,7.468e-05,-19.8924,1.40271,20.8923,0.0579758,0.546634,1305.09,0,0,0.363167,0.363167,0.00379379,300.734,1.65997,0.023873,-0.835645,-0.0807302,0.00159302
-347.044,0.987828,0.0492509,6,63,0,349.066,75.4198,0.0417096,21.7447,1.39771,0.754198,0.0417096,21.703,4.15e-05,7.29587e-05,-20.7448,0.754198,0.0417096,21.703,7.29587e-05,-20.7448,1.39771,21.7447,0.0582534,0.54678,1314.8,0,0,0.357523,0.357523,0.00373331,300.858,1.66717,0.023725,-0.712463,-0.073525,0.00144504
