# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = cmb_model
# start_datetime = 2023-07-27 21:32:48 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = Model4/Data/cmb.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpyli5c534/d3la3cg2.json
# random
#   seed = 72628
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output4/cmb/cmb-20230727223248_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,H0,Omb,Om,lambda,h,Omega_b,Omega_c,wr,Omega_r,Omega_L,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,g1,g2,zstar,z0,v0.1,sol_v.1.1,v,g,la,R,wb,x.1,x.2,x.3
# Adaptation terminated
# Step size = 0.0117321
# Diagonal elements of inverse mass matrix:
# 6.59663e-05, 3.7561e-05, 0.454223, 0.000535137
-346.341,0.999674,0.0117321,8,335,0,347.088,73.9075,0.0428799,21.2993,1.40247,0.739075,0.0428799,21.2564,4.15e-05,7.59751e-05,-20.2993,0.739075,0.0428799,21.2564,7.59751e-05,-20.2993,1.40247,21.2993,0.0588301,0.547077,1309.47,0,0,0.359992,0.359992,0.00375783,300.958,1.6614,0.0234224,-0.611899,-0.0792954,0.00114235
-345.503,0.996715,0.0117321,5,47,0,347.796,73.8273,0.0431918,21.2407,1.40284,0.738273,0.0431918,21.1975,4.15e-05,7.61403e-05,-20.2408,0.738273,0.0431918,21.1975,7.61403e-05,-20.2408,1.40284,21.2407,0.0586016,0.546961,1307.73,0,0,0.360372,0.360372,0.00376205,300.938,1.66087,0.0235416,-0.631959,-0.0798287,0.00126155
-345.591,0.885492,0.0117321,7,255,0,349.69,74.7746,0.0421627,21.2518,1.40074,0.747746,0.0421627,21.2097,4.15e-05,7.42231e-05,-20.2519,0.747746,0.0421627,21.2097,7.42231e-05,-20.2519,1.40074,21.2518,0.0585393,0.546929,1310.85,0,0,0.360721,0.360721,0.00376751,300.792,1.66291,0.0235742,-0.777542,-0.0777859,0.00129423
-346.387,0.967724,0.0117321,8,255,0,348.13,75.8059,0.0410474,20.995,1.401,0.758059,0.0410474,20.9539,4.15e-05,7.22174e-05,-19.995,0.758059,0.0410474,20.9539,7.22174e-05,-19.995,1.401,20.995,0.058513,0.546915,1312.75,0,0,0.362715,0.362715,0.00378667,300.925,1.66197,0.023588,-0.645363,-0.0787319,0.00130804
-345.684,0.973226,0.0117321,8,511,0,348.985,73.5246,0.0434519,21.8701,1.40049,0.735246,0.0434519,21.8267,4.15e-05,7.67685e-05,-20.8702,0.735246,0.0434519,21.8267,7.67685e-05,-20.8702,1.40049,21.8701,0.0587011,0.547011,1310.97,0,0,0.356002,0.356002,0.00371585,300.984,1.66486,0.0234895,-0.586057,-0.0758395,0.00120953
-345.478,0.994867,0.0117321,7,255,0,346.154,73.9971,0.0429215,21.8559,1.39917,0.739971,0.0429215,21.813,4.15e-05,7.57912e-05,-20.856,0.739971,0.0429215,21.813,7.57912e-05,-20.856,1.39917,21.8559,0.0586773,0.546999,1312.47,0,0,0.356379,0.356379,0.0037217,300.829,1.66608,0.023502,-0.740771,-0.0746183,0.00122198
-346.808,0.854935,0.0117321,6,119,0,348.639,74.253,0.0426903,21.5671,1.39975,0.74253,0.0426903,21.5244,4.15e-05,7.52696e-05,-20.5672,0.74253,0.0426903,21.5244,7.52696e-05,-20.5672,1.39975,21.5671,0.0586097,0.546965,1311.29,0,0,0.358466,0.358466,0.00374472,300.732,1.66473,0.0235373,-0.838154,-0.0759678,0.00125733
-346.794,0.940063,0.0117321,3,7,0,348.403,74.258,0.0427355,21.603,1.39959,0.74258,0.0427355,21.5603,4.15e-05,7.52596e-05,-20.6031,0.74258,0.0427355,21.5603,7.52596e-05,-20.6031,1.39959,21.603,0.0585561,0.546937,1311.27,0,0,0.358222,0.358222,0.00374215,300.733,1.66498,0.0235654,-0.837084,-0.0757166,0.00128539
-344.756,0.868775,0.0117321,2,3,0,348.919,74.2592,0.0427889,21.6055,1.40036,0.742592,0.0427889,21.5627,4.15e-05,7.52572e-05,-20.6056,0.742592,0.0427889,21.5627,7.52572e-05,-20.6056,1.40036,21.6055,0.0584985,0.546908,1311.01,0,0,0.358047,0.358047,0.00373806,300.915,1.66426,0.0235956,-0.655468,-0.0764378,0.00131563
-345.069,0.999101,0.0117321,8,255,0,345.26,74.1426,0.042763,21.9798,1.39869,0.741426,0.042763,21.9371,4.15e-05,7.5494e-05,-20.9799,0.741426,0.042763,21.9371,7.5494e-05,-20.9799,1.39869,21.9798,0.058667,0.546994,1313.7,0,0,0.355544,0.355544,0.00371204,300.906,1.66689,0.0235074,-0.663806,-0.0738148,0.00122736
-345.602,0.922086,0.0117321,2,3,0,345.875,74.1409,0.0427795,21.9794,1.39839,0.741409,0.0427795,21.9366,4.15e-05,7.54975e-05,-20.9795,0.741409,0.0427795,21.9366,7.54975e-05,-20.9795,1.39839,21.9794,0.0586517,0.546986,1313.62,0,0,0.355606,0.355606,0.00371355,300.836,1.66716,0.0235153,-0.734118,-0.0735433,0.00123535
-348.394,0.821994,0.0117321,5,39,0,349.688,74.1909,0.0427512,21.9046,1.39995,0.741909,0.0427512,21.8618,4.15e-05,7.53958e-05,-20.9047,0.741909,0.0427512,21.8618,7.53958e-05,-20.9047,1.39995,21.9046,0.0586209,0.54697,1313.19,0,0,0.355857,0.355857,0.0037125,301.133,1.66549,0.0235315,-0.436638,-0.0752056,0.00125147
-348.017,0.999645,0.0117321,8,255,0,351.242,73.865,0.042958,22.3183,1.39837,0.73865,0.042958,22.2753,4.15e-05,7.60625e-05,-21.3184,0.73865,0.042958,22.2753,7.60625e-05,-21.3184,1.39837,22.3183,0.0587999,0.547062,1315.4,0,0,0.353096,0.353096,0.003684,301.109,1.66811,0.0234381,-0.460917,-0.0725937,0.00115807
