# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = BAO_model
# start_datetime = 2023-07-22 20:59:42 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Meu_Codigo_Normal_Model/Baryonic_Acoustic_Oscilators/Data/bao.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpv_ravs6o/g5_4s2h_.json
# random
#   seed = 19058
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/normal/bao/BAO-20230722215942.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,H0,Om,theta.1,theta.2,dv_theo.1,dv_theo.2,dv_theo.3,dv_theo.4,dv_theo.5,dv_theo.6,rf,c,dL.1,dL.2,dL.3,dL.4,dL.5,dL.6
4.4508,0.999992,0.00152634,5,39,0,-4.16746,71.213,0.324655,71.213,0.324655,1270.5,1667.57,2052.43,2134.97,2467.58,3834.05,150,299790,nan,nan,nan,nan,nan,nan
4.38454,0.983123,0.00265706,4,31,0,-4.13515,71.8818,0.327474,71.8818,0.327474,1266.35,1661.65,2044.6,2126.71,2457.47,3815.07,150,299790,nan,nan,nan,nan,nan,nan
4.19046,0.317584,0.00440295,2,7,0,-0.934732,72.5304,0.352592,72.5304,0.352592,1274.94,1668.89,2048.74,2129.97,2456.44,3785.9,150,299790,nan,nan,nan,nan,nan,nan
3.83,0.999855,0.00144465,4,31,0,-3.74449,73.5408,0.371709,73.5408,0.371709,1276.11,1667.47,2043.57,2123.84,2445.95,3750.52,150,299790,nan,nan,nan,nan,nan,nan
3.67864,0.989905,0.0024839,2,7,0,-3.61748,73.4238,0.377082,73.4238,0.377082,1279.76,1671.42,2047.47,2127.69,2449.45,3750.72,150,299790,nan,nan,nan,nan,nan,nan
3.3988,0.959917,0.00413839,2,7,0,-3.01314,73.1358,0.380753,73.1358,0.380753,1284.02,1676.43,2052.97,2133.26,2455.24,3756.1,150,299790,nan,nan,nan,nan,nan,nan
3.50708,0.940209,0.0063754,2,5,0,-3.33668,72.606,0.371312,72.606,0.371312,1283.99,1677.82,2056.33,2137.11,2461.31,3774.45,150,299790,nan,nan,nan,nan,nan,nan
3.32548,0.212492,0.00931939,1,3,1,-1.77256,72.1075,0.366329,72.1075,0.366329,1285.83,1681,2061.11,2142.27,2468.14,3789.85,150,299790,nan,nan,nan,nan,nan,nan
3.96638,0.992285,0.00246595,3,11,0,-3.07908,71.9226,0.351806,71.9226,0.351806,1279.81,1675.39,2056.87,2138.45,2466.37,3802.03,150,299790,nan,nan,nan,nan,nan,nan
1.95496,0.892625,0.0040719,3,15,0,-0.463313,74.5591,0.344726,74.5591,0.344726,1253.48,1642.02,2017.2,2097.49,2420.43,3738.63,150,299790,nan,nan,nan,nan,nan,nan
2.69076,0.98997,0.00530459,2,7,0,-1.74273,73.2691,0.394741,73.2691,0.394741,1289.42,1681.4,2056.67,2136.59,2456.72,3745.47,150,299790,nan,nan,nan,nan,nan,nan
4.26683,0.142858,0.00861021,2,7,0,-2.7705,72.4986,0.347824,72.4986,0.347824,1272.63,1666.61,2046.83,2128.17,2455.26,3789.1,150,299790,nan,nan,nan,nan,nan,nan
4.39458,0.993073,0.00200961,4,31,0,-3.24982,70.6568,0.305503,70.6568,0.305503,1263.3,1661.33,2048.58,2131.83,2467.89,3857.85,150,299790,nan,nan,nan,nan,nan,nan
3.00574,0.786031,0.00328338,3,11,0,-2.59299,71.3109,0.356285,71.3109,0.356285,1287.63,1684.91,2067.73,2149.56,2478.36,3815.81,150,299790,nan,nan,nan,nan,nan,nan
1.6598,0.80506,0.00334302,2,3,0,-0.0284451,71.4029,0.372585,71.4029,0.372585,1295.25,1692.34,2073.89,2155.32,2482.05,3805.01,150,299790,nan,nan,nan,nan,nan,nan
2.69857,0.978119,0.00355031,4,19,0,-0.692526,72.4358,0.308563,72.4358,0.308563,1249.89,1643.17,2025.58,2107.75,2439.38,3809.47,150,299790,nan,nan,nan,nan,nan,nan
4.01111,1,0.00553741,3,11,0,-3.24653,73.3451,0.357275,73.3451,0.357275,1270.42,1662.24,2039.73,2120.41,2444.56,3762.77,150,299790,nan,nan,nan,nan,nan,nan
4.01111,0.0673423,0.0090151,1,1,0,-3.48427,73.3451,0.357275,73.3451,0.357275,1270.42,1662.24,2039.73,2120.41,2444.56,3762.77,150,299790,nan,nan,nan,nan,nan,nan
4.27483,0.993539,0.00187458,4,19,0,-3.76576,72.1386,0.345562,72.1386,0.345562,1274.51,1669.43,2050.71,2132.31,2460.45,3799.54,150,299790,nan,nan,nan,nan,nan,nan
3.09966,0.979158,0.0030096,4,31,0,-2.08535,67.7444,0.283031,67.7444,0.283031,1273.94,1679.27,2075.5,2160.92,2506.56,3948.65,150,299790,nan,nan,nan,nan,nan,nan
3.42896,0.540628,0.0046564,2,3,0,-3.02741,67.8506,0.279929,67.8506,0.279929,1270.65,1675.49,2071.51,2156.91,2502.63,3946.89,150,299790,nan,nan,nan,nan,nan,nan
4.00801,0.998247,0.00277676,3,15,0,-3.02055,69.0003,0.294174,69.0003,0.294174,1270.43,1672.67,2064.95,2149.39,2490.68,3908.31,150,299790,nan,nan,nan,nan,nan,nan
4.26184,0.95849,0.00445404,4,19,0,-3.73404,72.4739,0.348265,72.4739,0.348265,1273.08,1667.14,2047.39,2128.74,2455.83,3789.52,150,299790,nan,nan,nan,nan,nan,nan
4.32772,1,0.00652622,2,7,0,-4.2327,72.3208,0.337208,72.3208,0.337208,1268.23,1662.54,2043.82,2125.48,2454.16,3798.93,150,299790,nan,nan,nan,nan,nan,nan
4.32772,0.00655041,0.0103985,2,3,0,-3.19917,72.3208,0.337208,72.3208,0.337208,1268.23,1662.54,2043.82,2125.48,2454.16,3798.93,150,299790,nan,nan,nan,nan,nan,nan
4.46537,0.981169,0.00201702,4,31,0,-3.65016,70.9417,0.318583,70.9417,0.318583,1269.16,1666.82,2052.71,2135.53,2469.45,3844.16,150,299790,nan,nan,nan,nan,nan,nan
3.69459,0.999497,0.00309185,4,19,0,-3.53677,74.002,0.370828,74.002,0.370828,1271.75,1661.9,2036.9,2116.94,2438.16,3739.43,150,299790,nan,nan,nan,nan,nan,nan
4.10164,0.503188,0.00490103,3,15,0,-1.74114,73.1149,0.355163,73.1149,0.355163,1271.27,1663.69,2041.89,2122.74,2447.64,3769.66,150,299790,nan,nan,nan,nan,nan,nan
3.6282,0.992905,0.00275228,4,27,0,-1.91116,67.9507,0.277663,67.9507,0.277663,1268.02,1672.43,2068.23,2153.61,2499.33,3944.94,150,299790,nan,nan,nan,nan,nan,nan
3.6282,0.265766,0.00428367,2,3,0,-2.86251,67.9507,0.277663,67.9507,0.277663,1268.02,1672.43,2068.23,2153.61,2499.33,3944.94,150,299790,nan,nan,nan,nan,nan,nan
2.55497,0.937411,0.0014849,2,3,0,-2.46265,67.9587,0.294047,67.9587,0.294047,1279.91,1685.17,2080.4,2165.48,2509.35,3937.78,150,299790,nan,nan,nan,nan,nan,nan
1.40452,0.906334,0.00205911,2,3,0,-0.582979,67.7297,0.299522,67.7297,0.299522,1285.86,1692.03,2087.71,2172.82,2516.65,3941.89,150,299790,nan,nan,nan,nan,nan,nan
