lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,H0,Om,theta.1,theta.2,H_theo.1,H_theo.2,H_theo.3,H_theo.4,H_theo.5,H_theo.6,H_theo.7,H_theo.8,H_theo.9,H_theo.10,H_theo.11,H_theo.12,H_theo.13,H_theo.14,H_theo.15,H_theo.16,H_theo.17,H_theo.18,H_theo.19,H_theo.20,H_theo.21,H_theo.22,H_theo.23,H_theo.24,H_theo.25,H_theo.26,H_theo.27,H_theo.28,H_theo.29,H_theo.30,H_theo.31,H_theo.32,A
# Adaptation terminated
# Step size = 0.448492
# Diagonal elements of inverse mass matrix:
# 0.00082284, 0.0130433
-12.1134,0.997616,0.448492,3,7,0,12.6894,70.1746,0.298747,70.1746,0.298747,72.4952,73.2019,74.298,76.2204,76.579,77.3895,77.4305,80.4166,80.8614,84.1965,85.5549,86.5459,86.5659,87.8086,88.8376,90.1472,90.5876,90.6782,96.956,102.123,106.479,108.464,114.678,115.016,116.379,126.048,146.127,151.21,156.726,165.16,184.524,204.452,15.1562
-11.6745,0.99143,0.448492,2,3,0,12.1642,69.2998,0.297956,69.2998,0.297956,71.5855,72.2816,73.3613,75.255,75.6083,76.4068,76.4472,79.389,79.8273,83.1133,84.4518,85.4283,85.448,86.6724,87.6864,88.9769,89.411,89.5002,95.687,100.779,105.073,107.029,113.154,113.488,114.831,124.363,144.158,149.17,154.608,162.924,182.017,201.668,14.7019
-12.0369,0.950546,0.448492,2,3,0,12.1288,69.2744,0.284807,69.2744,0.284807,71.46,72.1262,73.16,74.9748,75.3135,76.0793,76.118,78.942,79.3631,82.5222,83.8102,84.7502,84.7692,85.9484,86.9252,88.1689,88.5873,88.6734,94.6431,99.5636,103.717,105.61,111.542,111.866,113.167,122.411,141.639,146.513,151.802,159.894,178.485,197.632,15.0075
-11.9646,0.977345,0.448492,1,3,0,12.2895,70.1184,0.29029,70.1184,0.29029,72.3725,73.0593,74.125,75.9949,76.3439,77.1327,77.1726,80.0804,80.5139,83.7646,85.0895,86.0563,86.0758,87.2884,88.2927,89.5712,90.0012,90.0897,96.2232,101.276,105.539,107.481,113.567,113.898,115.233,124.711,144.411,149.402,154.818,163.102,182.13,201.722,14.9732
-11.6496,0.995156,0.448492,3,7,0,12.0564,68.9769,0.314534,68.9769,0.314534,71.3764,72.1063,73.2378,75.2205,75.5901,76.4251,76.4674,79.5406,79.9981,83.4245,84.8187,85.8353,85.8558,87.13,88.1846,89.5263,89.9774,90.0702,96.4928,101.77,106.215,108.238,114.568,114.913,116.3,126.135,146.524,151.68,157.272,165.819,185.428,205.594,14.7162
-12.3372,0.854962,0.448492,1,3,0,12.3763,69.2845,0.325904,69.2845,0.325904,71.7803,72.539,73.7146,75.773,76.1565,77.0228,77.0666,80.2527,80.7266,84.2744,85.7169,86.7684,86.7896,88.1071,89.1973,90.5837,91.0498,91.1456,97.7761,103.218,107.798,109.881,116.398,116.753,118.18,128.293,149.233,154.525,160.263,169.03,189.134,209.797,15.4207
-13.4139,0.934062,0.448492,2,5,0,15.1479,64.231,0.377594,64.231,0.377594,66.9044,67.7143,68.9669,71.1535,71.5601,72.4775,72.5239,75.8868,76.3857,80.1104,81.6202,82.7191,82.7412,84.1163,85.2528,86.6962,87.181,87.2807,94.1553,99.7716,104.483,106.622,113.299,113.662,115.121,125.439,146.703,152.06,157.863,166.72,186.99,207.783,16.3014
-13.4557,0.964278,0.448492,2,3,0,13.9173,64.496,0.402664,64.496,0.402664,67.3549,68.2195,69.5556,71.8848,72.3174,73.2932,73.3425,76.9139,77.4431,81.389,82.9862,84.148,84.1714,85.6244,86.8245,88.3479,88.8594,88.9645,96.2071,102.112,107.059,109.303,116.301,116.681,118.209,129.004,151.209,156.796,162.846,172.075,193.181,214.813,16.1857
-11.9691,0.996623,0.448492,3,11,0,13.7724,70.0226,0.29744,70.0226,0.29744,72.3282,73.0304,74.1196,76.03,76.3864,77.1919,77.2327,80.2006,80.6428,83.958,85.3086,86.2938,86.3137,87.5492,88.5723,89.8744,90.3124,90.4024,96.6453,101.784,106.117,108.091,114.273,114.61,115.965,125.585,145.565,150.624,156.113,164.507,183.78,203.616,15.005
-12.227,0.938877,0.448492,2,3,0,12.3145,68.7912,0.286179,68.7912,0.286179,70.9718,71.6364,72.6678,74.478,74.8158,75.5796,75.6183,78.4348,78.8547,82.0048,83.289,84.2262,84.2451,85.4208,86.3947,87.6345,88.0516,88.1374,94.0879,98.9918,103.131,105.017,110.928,111.25,112.547,121.756,140.909,145.762,151.03,159.089,177.602,196.668,15.1974
