lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,H0,zeta,theta.1,theta.2,theta.3,A,B,C,Delta.1,Delta.2,Delta.3,Delta.4,Delta.5,Delta.6,Delta.7,Delta.8,Delta.9,Delta.10,Delta.11,Delta.12,Delta.13,Delta.14,Delta.15,Delta.16,Delta.17,Delta.18,Delta.19,Delta.20,Delta.21,Delta.22,Delta.23,Delta.24,Delta.25,Delta.26,Delta.27,Delta.28,Delta.29,Delta.30,Delta.31,Delta.32,Delta.33,Delta.34,Delta.35,Delta.36,Delta.37,Delta.38,Delta.39,Delta.40
# Adaptation terminated
# Step size = 0.33054
# Diagonal elements of inverse mass matrix:
# 0.00472399, 0.0216376, 0.00248055
-45.6048,0.995176,0.33054,3,7,0,45.8048,0.335344,87.9608,-0.195845,0.335344,87.9608,-0.195845,3.24826e+07,1.36751e+06,57571.6,23.7973,23.7348,23.7571,23.7536,23.7526,23.7407,23.7087,23.7388,23.7332,23.8386,23.7722,23.834,23.809,23.7504,23.776,23.8292,23.7533,23.6962,23.7682,23.7651,23.7477,23.7523,23.7408,23.7396,23.7077,23.739,23.7747,23.7466,23.7409,23.752,23.7419,23.7626,23.7367,23.7629,23.7223,23.717,23.7611,23.7664,23.7374,23.6503
-46.0953,0.9869,0.33054,3,15,0,46.7794,0.355455,57.778,-0.238438,0.355455,57.778,-0.238438,3.24484e+07,1.36678e+06,57571.6,23.792,23.7287,23.7501,23.7459,23.7442,23.7316,23.6989,23.7286,23.7225,23.8274,23.7606,23.822,23.7967,23.7377,23.763,23.8158,23.7396,23.6822,23.754,23.7507,23.7331,23.7375,23.7259,23.7245,23.6926,23.7239,23.7596,23.7315,23.7259,23.7372,23.7273,23.7484,23.723,23.7499,23.71,23.7061,23.7517,23.759,23.7341,23.6518
-42.8186,1,0.33054,2,3,0,45.9798,0.363133,64.0236,-0.174326,0.363133,64.0236,-0.174326,3.25236e+07,1.36837e+06,57571.6,23.7986,23.7366,23.7593,23.7563,23.7557,23.7443,23.7127,23.7433,23.7382,23.8441,23.7782,23.8407,23.8161,23.7582,23.7842,23.838,23.7628,23.7063,23.7791,23.7767,23.7601,23.7655,23.755,23.7545,23.7237,23.756,23.7929,23.7658,23.7613,23.7739,23.7651,23.7874,23.7633,23.7917,23.753,23.7507,23.7977,23.8063,23.7831,23.7015
-44.5973,0.961224,0.33054,2,7,0,45.7105,0.368348,57.6024,-0.240431,0.368348,57.6024,-0.240431,3.24525e+07,1.36687e+06,57571.6,23.7911,23.7277,23.749,23.7448,23.7431,23.7305,23.6978,23.7275,23.7215,23.8264,23.7596,23.8211,23.7959,23.737,23.7623,23.8153,23.7392,23.682,23.7539,23.7508,23.7333,23.738,23.7266,23.7254,23.6938,23.7254,23.7614,23.7337,23.7285,23.7403,23.7309,23.7525,23.7278,23.7555,23.7163,23.7136,23.7604,23.7691,23.7469,23.6673
-44.0685,0.946783,0.33054,2,3,0,45.3105,0.384999,56.9477,-0.233822,0.384999,56.9477,-0.233822,3.24685e+07,1.36721e+06,57571.6,23.7911,23.7277,23.7492,23.745,23.7435,23.7311,23.6985,23.7284,23.7225,23.8276,23.7611,23.8228,23.7978,23.7391,23.7647,23.8179,23.7421,23.6852,23.7575,23.7547,23.7376,23.7426,23.7318,23.731,23.6998,23.7319,23.7685,23.7414,23.7368,23.7494,23.7406,23.7631,23.7393,23.7682,23.7301,23.7291,23.7775,23.788,23.7691,23.6925
-43.3491,0.752992,0.33054,2,3,0,45.7351,0.374044,61.6024,-0.234195,0.374044,61.6024,-0.234195,3.24625e+07,1.36708e+06,57571.6,23.7915,23.7283,23.7497,23.7456,23.744,23.7315,23.699,23.7287,23.7228,23.8279,23.7613,23.8229,23.7978,23.739,23.7645,23.8176,23.7417,23.6846,23.7567,23.7538,23.7365,23.7413,23.7302,23.7292,23.6978,23.7296,23.7659,23.7384,23.7335,23.7456,23.7365,23.7584,23.7341,23.7622,23.7235,23.7215,23.7688,23.7782,23.7571,23.6785
-45.088,0.970803,0.33054,4,15,0,46.4349,0.31896,50.4254,-0.127915,0.31896,50.4254,-0.127915,3.25386e+07,1.36868e+06,57571.6,23.8044,23.7431,23.7667,23.7642,23.7641,23.7532,23.7221,23.753,23.7482,23.8543,23.7885,23.8512,23.8266,23.7688,23.7948,23.8486,23.7733,23.7167,23.7893,23.7868,23.7698,23.7749,23.764,23.763,23.7316,23.7633,23.7994,23.7715,23.7661,23.7775,23.7675,23.7883,23.7624,23.7885,23.7475,23.7416,23.7848,23.7886,23.7564,23.6652
-46.3317,0.991764,0.33054,3,15,0,47.2156,0.346275,43.0255,-0.149129,0.346275,43.0255,-0.149129,3.25386e+07,1.36868e+06,57571.6,23.8017,23.7401,23.7634,23.7607,23.7604,23.7494,23.7182,23.749,23.7441,23.8502,23.7844,23.8472,23.8227,23.7649,23.791,23.845,23.7698,23.7134,23.7862,23.7839,23.7673,23.7726,23.7621,23.7615,23.7306,23.7628,23.7995,23.7722,23.7675,23.7797,23.7706,23.7924,23.7678,23.7954,23.7559,23.7524,23.7981,23.805,23.7784,23.6932
-42.7656,0.878327,0.33054,4,15,0,48.4856,0.33319,79.9351,-0.163803,0.33319,79.9351,-0.163803,3.2514e+07,1.36817e+06,57571.6,23.8006,23.7387,23.7616,23.7587,23.7581,23.7467,23.7152,23.7457,23.7406,23.8463,23.7803,23.8426,23.8179,23.7597,23.7856,23.8391,23.7636,23.7068,23.7793,23.7765,23.7594,23.7644,23.7533,23.7523,23.7209,23.7525,23.7886,23.7608,23.7554,23.7669,23.757,23.7781,23.7525,23.779,23.7386,23.7336,23.7778,23.7831,23.7538,23.666
-43.3928,0.881923,0.33054,1,1,0,43.4403,0.330547,81.2354,-0.167778,0.330547,81.2354,-0.167778,3.25081e+07,1.36804e+06,57571.6,23.8002,23.7383,23.7612,23.7581,23.7575,23.746,23.7144,23.7449,23.7396,23.8453,23.7792,23.8414,23.8167,23.7584,23.7842,23.8377,23.762,23.7052,23.7775,23.7747,23.7575,23.7624,23.7512,23.7501,23.7185,23.75,23.786,23.758,23.7526,23.7638,23.7539,23.7747,23.749,23.7752,23.7346,23.7292,23.7732,23.7781,23.7482,23.6599
