lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,H0,lambda,theta.1,theta.2,theta.3,H_theo.1,H_theo.2,H_theo.3,H_theo.4,H_theo.5,H_theo.6,H_theo.7,H_theo.8,H_theo.9,H_theo.10,H_theo.11,H_theo.12,H_theo.13,H_theo.14,H_theo.15,H_theo.16,H_theo.17,H_theo.18,H_theo.19,H_theo.20,H_theo.21,H_theo.22,H_theo.23,H_theo.24,H_theo.25,H_theo.26,H_theo.27,H_theo.28,H_theo.29,H_theo.30,H_theo.31,H_theo.32
# Adaptation terminated
# Step size = 0.209891
# Diagonal elements of inverse mass matrix:
# 0.00352967, 7.40013, 0.266703
-9.29582,0.0401726,0.209891,2,3,0,11.1456,0.184931,61.8077,-1.06867,61.8077,0.184931,-1.06867,65.5146,66.5873,68.2082,70.9415,71.4378,72.5455,72.6011,76.5318,77.1001,81.2425,82.8777,84.0541,84.0777,85.5344,86.7266,88.2268,88.7273,88.83,95.7688,101.266,105.786,107.816,114.074,114.411,115.764,125.221,144.278,149.016,154.126,161.889,179.53,197.498
-9.29582,0.285136,0.209891,1,3,0,9.73319,0.184931,61.8077,-1.06867,61.8077,0.184931,-1.06867,65.5146,66.5873,68.2082,70.9415,71.4378,72.5455,72.6011,76.5318,77.1001,81.2425,82.8777,84.0541,84.0777,85.5344,86.7266,88.2268,88.7273,88.83,95.7688,101.266,105.786,107.816,114.074,114.411,115.764,125.221,144.278,149.016,154.126,161.889,179.53,197.498
-9.29582,0.0485787,0.209891,2,5,0,11.6887,0.184931,61.8077,-1.06867,61.8077,0.184931,-1.06867,65.5146,66.5873,68.2082,70.9415,71.4378,72.5455,72.6011,76.5318,77.1001,81.2425,82.8777,84.0541,84.0777,85.5344,86.7266,88.2268,88.7273,88.83,95.7688,101.266,105.786,107.816,114.074,114.411,115.764,125.221,144.278,149.016,154.126,161.889,179.53,197.498
-8.32358,0.571647,0.209891,2,7,0,15.2737,0.197558,67.9278,-0.80311,67.9278,0.197558,-0.80311,70.9191,71.7923,73.118,75.3709,75.7823,76.7029,76.7492,80.0446,80.5245,84.0486,85.4517,86.4653,86.4857,87.7455,88.7802,90.0869,90.524,90.6137,96.7301,101.643,105.723,107.566,113.287,113.597,114.842,123.607,141.554,146.063,150.945,158.394,175.444,192.948
-7.80751,0.940541,0.209891,4,17,0,9.32028,0.334273,65.5976,-0.494567,65.5976,0.334273,-0.494567,68.565,69.4506,70.8105,73.1599,73.5937,74.5696,74.6188,78.1644,78.6869,82.5639,84.1254,85.2588,85.2817,86.6967,87.8635,89.3427,89.8387,89.9406,96.9431,102.631,107.386,109.541,116.255,116.619,118.085,128.43,149.699,155.052,160.849,169.694,189.934,210.694
-7.62344,0.95426,0.209891,4,15,0,9.37852,0.287618,65.9568,-0.544097,65.9568,0.287618,-0.544097,68.7215,69.5443,70.8061,72.9822,73.3836,74.2862,74.3317,77.6072,78.0895,81.6667,83.1069,84.1523,84.1733,85.4783,86.5543,87.9184,88.3759,88.4699,94.93,100.181,104.574,106.567,112.778,113.115,114.472,124.057,143.808,148.787,154.182,162.419,181.292,200.678
-7.86131,0.952501,0.209891,4,31,0,8.76341,0.248439,68.9179,-0.624333,68.9179,0.248439,-0.624333,71.7326,72.5653,73.8384,76.0247,76.4268,77.3298,77.3753,80.6404,81.1197,84.6666,86.0908,87.1234,87.1442,88.432,89.4931,90.8371,91.2876,91.3801,97.7306,102.882,107.187,109.139,115.22,115.55,116.878,126.258,145.589,150.464,155.747,163.816,182.315,201.333
-7.38796,0.827586,0.209891,3,15,0,9.00977,0.31537,67.6886,-0.0718794,67.6886,0.31537,-0.0718794,70.0613,70.7827,71.9006,73.8586,74.2235,75.0478,75.0896,78.1223,78.5736,81.953,83.3277,84.3299,84.3502,85.6062,86.6458,87.9681,88.4126,88.504,94.8319,100.03,104.407,106.398,112.631,112.97,114.336,124.016,144.079,149.152,154.654,163.063,182.354,202.19
-7.50722,0.998348,0.209891,3,15,0,7.69997,0.342174,67.267,-0.125606,67.267,0.342174,-0.125606,69.8447,70.6264,71.836,73.95,74.3433,75.2313,75.2762,78.5356,79.0197,82.6382,84.1071,85.177,85.1986,86.5383,87.6461,89.0541,89.5272,89.6244,96.3444,101.848,106.473,108.575,115.143,115.5,116.938,127.112,148.139,153.446,159.198,167.982,188.111,208.784
-8.47922,0.916205,0.209891,3,15,0,10.6494,0.310894,70.8172,0.113945,70.8172,0.310894,0.113945,73.2837,74.0333,75.1947,77.2282,77.6071,78.463,78.5063,81.6547,82.1231,85.6306,87.0573,88.0974,88.1184,89.4219,90.5007,91.873,92.3344,92.4292,98.9964,104.391,108.934,111.002,117.472,117.825,119.242,129.294,150.131,155.401,161.116,169.853,189.898,210.513
